# format	robotrace-shortcut-course-v1
# course_id	2011alljapan_pre
# source_file	examples/synthetic/2011alljapan_pre.json
# source_hash	31e7898454360c7ae1b5af8b6453b0dfee8b8431a54bebfc7f6a4a7631775e34
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	860	0
870	870	0
880	880	0
890	890	0
900	900	0
910	910	0
920	920	0
930	930	0
940	940	0
950	950	0
960	959.99585	-0.24994792
970	969.966675	-0.999166965
980	979.887634	-2.24578452
990	989.733887	-3.98668432
1000	999.480774	-6.21751547
1010	1009.10406	-8.93270206
1020	1018.57959	-12.1254578
1030	1027.88367	-15.7878008
1040	1036.99316	-19.9105797
1050	1045.88513	-24.4834881
1060	1054.53748	-29.4950962
1070	1062.92847	-34.9328766
1080	1071.03723	-40.7832413
1090	1078.84351	-47.0315628
1100	1086.32776	-53.6622276
1110	1093.47119	-60.6586571
1120	1100.2561	-68.0033722
1130	1106.66541	-75.678009
1140	1112.68311	-83.6633835
1150	1118.29419	-91.939537
1160	1123.48462	-100.485794
1170	1128.24146	-109.280777
1180	1132.55273	-118.302513
1190	1136.40784	-127.52845
1200	1139.79688	-136.935532
1210	1142.71167	-146.500229
1220	1145.14465	-156.198669
1230	1147.08997	-166.006577
1240	1148.5426	-175.899445
1250	1149.49902	-185.852554
1260	1149.95679	-195.841034
1270	1150	-205.840729
1280	1150	-215.840729
1290	1150	-225.840729
1300	1150	-235.840729
1310	1150	-245.840729
1320	1150	-255.840729
1330	1150	-265.840729
1340	1150	-275.840729
1350	1150	-285.840729
1360	1150	-295.840729
1370	1150	-305.840729
1380	1150	-315.840729
1390	1150	-325.840729
1400	1150	-335.840729
1410	1150	-345.840729
1420	1150	-355.840729
1430	1150	-365.840729
1440	1150	-375.840729
1450	1150	-385.840729
1460	1150	-395.840729
1470	1150	-405.840729
1480	1150	-415.840729
1490	1150	-425.840729
1500	1150	-435.840729
1510	1150	-445.840729
1520	1150	-455.840729
1530	1150	-465.840729
1540	1150	-475.840729
1550	1150	-485.840729
1560	1150	-495.840729
1570	1150	-505.840729
1580	1150	-515.840759
1590	1150	-525.840759
1600	1150	-535.840759
1610	1150	-545.840759
1620	1150	-555.840759
1630	1150	-565.840759
1640	1150	-575.840759
1650	1150	-585.840759
1660	1150	-595.840759
1670	1150	-605.840759
1680	1150	-615.840759
1690	1150	-625.840759
1700	1150	-635.840759
1710	1150	-645.840759
1720	1150	-655.840759
1730	1150	-665.840759
1740	1150	-675.840759
1750	1150	-685.840759
1760	1150	-695.840759
1770	1150	-705.840759
1780	1150	-715.840759
1790	1150	-725.840759
1800	1150	-735.840759
1810	1150	-745.840759
1820	1150	-755.840759
1830	1150	-765.840759
1840	1150	-775.840759
1850	1150	-785.840759
1860	1150	-795.840759
1870	1150	-805.840759
1880	1150	-815.840759
1890	1150	-825.840759
1900	1150	-835.840759
1910	1150	-845.840759
1920	1150	-855.840759
1930	1150	-865.840759
1940	1150	-875.840759
1950	1150	-885.840759
1960	1150	-895.840759
1970	1150	-905.840759
1980	1150	-915.840759
1990	1150	-925.840759
2000	1150	-935.840759
2010	1150	-945.840759
2020	1150	-955.840759
2030	1150	-965.840759
2040	1150	-975.840759
2050	1150	-985.840759
2060	1150	-995.840759
2070	1150	-1005.84076
2080	1150	-1015.84076
2090	1150	-1025.8407
2100	1150	-1035.8407
2110	1150	-1045.8407
2120	1150	-1055.8407
2130	1150	-1065.8407
2140	1150	-1075.8407
2150	1150	-1085.8407
2160	1150	-1095.8407
2170	1150	-1105.8407
2180	1150	-1115.8407
2190	1150	-1125.8407
2200	1150	-1135.8407
2210	1150	-1145.8407
2220	1150	-1155.8407
2230	1150	-1165.8407
2240	1150	-1175.8407
2250	1150	-1185.8407
2260	1150	-1195.8407
2270	1150	-1205.8407
2280	1150	-1215.8407
2290	1150	-1225.8407
2300	1150	-1235.8407
2310	1150	-1245.8407
2320	1150	-1255.8407
2330	1150	-1265.8407
2340	1150	-1275.8407
2350	1150	-1285.8407
2360	1150	-1295.8407
2370	1150	-1305.8407
2380	1150	-1315.8407
2390	1150	-1325.8407
2400	1150	-1335.8407
2410	1150	-1345.8407
2420	1150	-1355.8407
2430	1150	-1365.8407
2440	1150	-1375.8407
2450	1150	-1385.8407
2460	1150	-1395.8407
2470	1150	-1405.8407
2480	1150	-1415.8407
2490	1150	-1425.8407
2500	1150	-1435.8407
2510	1150	-1445.8407
2520	1150	-1455.8407
2530	1150	-1465.8407
2540	1150	-1475.8407
2550	1150	-1485.8407
2560	1150	-1495.8407
2570	1150	-1505.8407
2580	1150	-1515.8407
2590	1150	-1525.8407
2600	1150	-1535.8407
2610	1150	-1545.8407
2620	1150	-1555.8407
2630	1150	-1565.8407
2640	1150	-1575.8407
2650	1150	-1585.8407
2660	1150	-1595.8407
2670	1150	-1605.8407
2680	1150	-1615.8407
2690	1150	-1625.8407
2700	1150	-1635.8407
2710	1150	-1645.8407
2720	1150	-1655.8407
2730	1150	-1665.8407
