# format	robotrace-shortcut-course-v1
# course_id	2013alljapan_pre
# source_file	examples/synthetic/2013alljapan_pre.json
# source_hash	fe3e7db3b0d6a406580611db0246c2fbf0cd40c935f1033c2b4551f30e6d4960
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	709.998169	0.166651234
720	719.985168	0.666419804
730	729.950012	1.49875045
740	739.881592	2.6627183
750	749.76886	4.15703058
760	759.600769	5.98002672
770	769.366516	8.12968159
780	779.055237	10.6036062
790	788.656067	13.3990536
800	798.158386	16.5129166
810	807.551697	19.9417362
820	816.8255	23.6817017
830	825.969482	27.7286606
840	834.973572	32.0781136
850	843.827637	36.7252312
860	852.521973	41.6648483
870	861.046814	46.8914795
880	869.392761	52.3993149
890	877.550476	58.1822395
900	885.510925	64.2338181
910	893.26532	70.5473404
920	900.804932	77.1157913
930	908.121521	83.9318619
940	915.206848	90.9879837
950	922.05304	98.276329
960	928.652588	105.78878
970	934.998047	113.517006
980	941.082458	121.452423
990	946.899048	129.586197
1000	952.441284	137.909302
1010	957.703064	146.412506
1020	962.678589	155.086334
1030	967.362183	163.921158
1040	971.748779	172.907181
1050	975.833496	182.034393
1060	979.611755	191.292679
1070	983.079285	200.671722
1080	986.232361	210.161133
1090	989.067444	219.750351
1100	991.58136	229.428726
1110	993.771362	239.185516
1120	995.634949	249.009857
1130	997.170044	258.890869
1140	998.375	268.817535
1150	999.248474	278.778839
1160	999.78949	288.763733
1170	999.997437	298.761108
1180	1000	308.761108
1190	1000	318.761108
1200	1000	328.761108
1210	1000	338.761108
1220	1000	348.761108
1230	1000	358.761108
1240	1000	368.761108
1250	1000	378.761108
1260	1000	388.761108
1270	1000	398.761108
1280	1000	408.761108
1290	1000	418.761108
1300	1000	428.761108
1310	1000	438.761108
1320	1000	448.761108
1330	1000	458.761108
1340	1000	468.761108
1350	1000	478.761108
1360	1000	488.761108
1370	1000	498.761108
1380	1000	508.761108
1390	1000	518.761108
1400	1000	528.761108
1410	1000	538.761108
1420	1000	548.761108
1430	1000	558.761108
1440	1000	568.761108
1450	1000	578.761108
1460	1000	588.761108
1470	1000	598.761108
1480	1000	608.761108
1490	1000	618.761108
1500	1000	628.761108
1510	1000	638.761108
1520	1000	648.761108
1530	1000	658.761108
1540	1000	668.761108
1550	1000	678.761108
1560	1000	688.761108
1570	1000	698.761108
1580	1000	708.761108
1590	1000	718.761108
1600	1000	728.761108
1610	1000	738.761108
1620	1000	748.761108
1630	1000	758.761108
1640	1000	768.761108
1650	1000	778.761108
1660	1000	788.761108
1670	1000	798.761108
1680	1000	808.761108
1690	1000	818.761108
1700	1000	828.761108
1710	1000	838.761108
1720	1000	848.761108
1730	1000	858.761108
1740	1000	868.761108
1750	1000	878.761108
1760	1000	888.761108
1770	1000	898.761108
1780	1000	908.761108
1790	1000	918.761108
1800	1000	928.761108
1810	1000	938.761108
1820	1000	948.761108
1830	1000	958.761108
1840	1000	968.761108
1850	1000	978.761108
1860	1000	988.761108
1870	1000	998.761108
1880	1000	1008.76111
1890	1000	1018.76111
1900	1000	1028.76111
1910	1000	1038.76111
1920	1000	1048.76111
1930	1000	1058.76111
1940	1000	1068.76111
1950	1000	1078.76111
1960	1000	1088.76111
1970	1000	1098.76111
1980	1000	1108.76111
1990	1000	1118.76111
2000	1000	1128.76111
2010	1000	1138.76111
2020	1000	1148.76111
2030	1000	1158.76111
2040	1000	1168.76111
2050	1000	1178.76111
2060	1000	1188.76111
2070	1000	1198.76111
2080	1000	1208.76111
2090	1000	1218.76111
2100	1000	1228.76111
2110	1000	1238.76111
2120	1000	1248.76111
2130	1000	1258.76111
2140	1000	1268.76111
2150	1000	1278.76111
2160	1000	1288.76111
2170	1000	1298.76111
2180	999.87207	1308.75989
2190	999.413574	1318.7489
2200	998.622375	1328.71704
2210	997.499451	1338.65332
2220	996.045959	1348.54663
2230	994.263611	1358.38611
2240	992.154297	1368.16064
2250	989.720398	1377.8595
2260	986.9646	1387.4718
2270	983.890015	1396.98682
2280	980.5	1406.39429
2290	976.798401	1415.68335
2300	972.789246	1424.84399
2310	968.47699	1433.86597
2320	963.866455	1442.73926
2330	958.96283	1451.45386
2340	953.771423	1460.00024
2350	948.298096	1468.36877
2360	942.54895	1476.55029
2370	936.530273	1484.53577
2380	930.24884	1492.31604
2390	923.711548	1499.88281
2400	916.925781	1507.22742
2410	909.898987	1514.3418
2420	902.638977	1521.21814
2430	895.153809	1527.84863
2440	887.451843	1534.22595
2450	879.541626	1540.34314
2460	871.431946	1546.19324
2470	863.131775	1551.76978
2480	854.650391	1557.06665
2490	845.997192	1562.07788
2500	837.181763	1566.79797
2510	828.213989	1571.22168
2520	819.103699	1575.34399
2530	809.861084	1579.1604
2540	800.49646	1582.66675
2550	791.020142	1585.85889
2560	781.442688	1588.73364
2570	771.77478	1591.28748
2580	762.027161	1593.5177
2590	752.210571	1595.42188
2600	742.335999	1596.9978
2610	732.414368	1598.24365
2620	722.456787	1599.15833
2630	712.474182	1599.7406
2640	702.477783	1599.98975
2650	692.479553	1600.14148
2660	682.500183	1600.76709
2670	672.564575	1601.89075
2680	662.69751	1603.50952
2690	652.923706	1605.61938
