# format	robotrace-shortcut-course-v1
# course_id	2013hokushinetsu
# source_file	examples/synthetic/2013hokushinetsu.json
# source_hash	9c855bbde242d005c40e96d3f2f8119f08d88d1a3294221c65bafaadded2f5c9
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	409.992584	0.333209902
420	419.940796	1.33135915
430	429.800385	2.99001336
440	439.527618	5.30180311
450	449.079193	8.25645828
460	458.41275	11.8408508
470	467.486786	16.0390568
480	476.260986	20.8324242
490	484.696381	26.1996574
500	492.755463	32.116909
510	500.402466	38.5578957
520	507.603424	45.4939919
530	514.326294	52.8943901
540	520.54126	60.7262115
550	526.220642	68.9546509
560	531.339294	77.5431671
570	535.87439	86.4535904
580	539.805847	95.6463394
590	543.116211	105.080566
600	545.79071	114.714363
610	547.817444	124.504929
620	549.1875	134.408768
630	549.894775	144.381866
640	550	154.380554
650	550	164.380554
660	550	174.380554
670	550	184.380554
680	550	194.380554
690	550	204.380554
700	550	214.380554
710	550	224.380554
720	550	234.380554
730	550	244.380554
740	550	254.380554
750	550	264.380554
760	550	274.380554
770	550	284.380554
780	550	294.380554
790	550	304.380554
800	550	314.380554
810	550	324.380554
820	550	334.380554
830	550	344.380554
840	550	354.380554
850	550	364.380554
860	550	374.380554
870	550	384.380554
880	550	394.380554
890	550	404.380554
900	550	414.380554
910	550	424.380554
920	550	434.380554
930	550	444.380554
940	550	454.380554
950	550	464.380554
960	550	474.380554
970	550	484.380554
980	550	494.380554
990	550	504.380554
1000	550	514.380554
1010	550	524.380554
1020	550	534.380554
1030	550	544.380554
1040	550	554.380554
1050	550	564.380554
1060	550	574.380554
1070	550	584.380554
1080	550	594.380554
1090	550	604.380554
1100	550	614.380554
1110	550	624.380554
1120	550	634.380554
1130	550	644.380554
1140	550	654.380554
1150	550	664.380554
1160	550	674.380554
1170	550	684.380554
1180	550	694.380554
1190	550	704.380554
1200	550	714.380554
1210	550	724.380554
1220	550	734.380554
1230	550	744.380554
1240	550	754.380554
1250	550	764.380554
1260	550	774.380554
1270	550	784.380554
1280	550	794.380554
1290	550	804.380554
1300	550	814.380554
1310	550	824.380554
1320	550	834.380554
1330	550	844.380554
1340	550	854.380554
1350	550	864.380554
1360	550	874.380554
1370	550	884.380554
1380	550	894.380554
1390	550	904.380554
1400	550	914.380554
1410	550	924.380554
1420	550	934.380554
1430	550	944.380554
1440	550	954.380554
1450	550	964.380554
1460	550	974.380554
1470	550	984.380554
1480	550	994.380554
1490	550	1004.38055
1500	550	1014.38055
1510	550	1024.38049
1520	550	1034.38049
1530	550	1044.38049
1540	550	1054.38049
1550	550	1064.38049
1560	550	1074.38049
1570	550	1084.38049
1580	550	1094.38049
1590	550	1104.38049
1600	550	1114.38049
1610	550	1124.38049
1620	550	1134.38049
1630	550	1144.38049
1640	550	1154.38049
1650	550	1164.38049
1660	550	1174.38049
1670	550	1184.38049
1680	550	1194.38049
1690	550	1204.38049
1700	550	1214.38049
1710	550	1224.38049
1720	550	1234.38049
1730	550	1244.38049
1740	550	1254.38049
1750	550	1264.38049
1760	550	1274.38049
1770	550	1284.38049
1780	550	1294.38049
1790	550	1304.38049
1800	550	1314.38049
1810	550	1324.38049
1820	550	1334.38049
1830	550	1344.38049
1840	550	1354.38049
1850	550	1364.38049
1860	550	1374.38049
1870	550	1384.38049
1880	550	1394.38049
1890	550	1404.38049
1900	550	1414.38049
1910	550	1424.38049
1920	550	1434.38049
1930	550	1444.38049
1940	550	1454.38049
1950	550	1464.38049
1960	550	1474.38049
1970	550	1484.38049
1980	550	1494.38049
1990	550	1504.38049
2000	550	1514.38049
2010	550	1524.38049
2020	550	1534.38049
2030	550	1544.38049
2040	550	1554.38049
2050	550	1564.38049
2060	550	1574.38049
2070	550	1584.38049
2080	550	1594.38049
2090	550	1604.38049
2100	550	1614.38049
2110	550	1624.38049
2120	550	1634.38049
2130	550	1644.38049
2140	550	1654.38049
2150	550	1664.38049
2160	550	1674.38049
2170	550	1684.38049
2180	550	1694.38049
2190	550	1704.38049
2200	550	1714.38049
2210	550	1724.38049
2220	550	1734.38049
2230	550	1744.38049
2240	550	1754.38049
2250	550	1764.38049
2260	550	1774.38049
2270	550	1784.38049
2280	550	1794.38049
2290	549.961609	1804.38037
2300	549.586487	1814.37268
2310	548.812134	1824.34192
2320	547.639648	1834.27234
2330	546.071045	1844.14783
2340	544.108826	1853.95276
2350	541.755981	1863.67126
2360	539.016418	1873.28809
2370	535.894531	1882.78748
2380	532.395203	1892.15454
2390	528.524109	1901.37415
2400	524.287415	1910.43164
2410	519.691956	1919.31238
2420	514.744995	1928.00232
2430	509.454498	1936.48743
2440	503.828918	1944.75415
2450	497.877258	1952.78943
2460	491.609009	1960.5802
2470	485.034271	1968.11401
2480	478.163483	1975.37891
2490	471.00769	1982.36328
2500	463.578308	1989.05591
2510	455.887238	1995.44604
2520	447.946808	2001.52356
2530	439.769653	2007.27869
2540	431.368927	2012.70215
2550	422.758026	2017.7854
2560	413.950745	2022.52014
2570	404.961151	2026.89905
2580	395.80365	2030.91479
2590	386.492889	2034.56128
2600	377.043762	2037.8324
2610	367.471375	2040.72314
2620	357.791046	2043.22864
2630	348.01828	2045.34521
2640	338.168671	2047.06909
2650	328.257996	2048.39795
2660	318.302155	2049.3291
2670	308.316986	2049.86157
2680	298.318542	2049.99438
2690	288.322784	2049.72705
2700	278.345703	2049.0603
2710	268.403259	2047.99524
2720	258.511383	2046.53333
2730	248.685852	2044.677
2740	238.942429	2042.42932
2750	229.296677	2039.7937
