# format	robotrace-shortcut-course-v1
# course_id	2015alljapan
# source_file	examples/synthetic/2015alljapan.json
# source_hash	6e913302c42295310b49615c627cdf177cc89d23dac0ce2c64a5487a12c118ea
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	-3.61770658e-09
380	379.999969	-0.0166821852
390	389.999847	-0.0666974857
400	399.999512	-0.15004535
410	409.99881	-0.266724855
420	419.997681	-0.416734666
430	429.996002	-0.600073159
440	439.993652	-0.816738307
450	449.990509	-1.06672764
460	459.986511	-1.35003853
470	469.981476	-1.66666758
480	479.976471	-1.98342323
490	489.972443	-2.26686072
500	499.969299	-2.51697659
510	509.966949	-2.73376846
520	519.965271	-2.91723371
530	529.964111	-3.06737018
540	539.96344	-3.18417621
550	549.963074	-3.26765084
560	559.962952	-3.31779265
570	569.962952	-3.33460164
580	579.962891	-3.31807709
590	589.962769	-3.26821947
600	599.962463	-3.18502951
610	609.961731	-3.06850767
620	619.960632	-2.91865563
630	629.958923	-2.73547482
640	639.956604	-2.51896715
650	649.953491	-2.26913548
660	659.949463	-1.98598242
670	669.944458	-1.66951096
680	679.939392	-1.35266733
690	689.935425	-1.06914103
700	699.932251	-0.81893611
710	709.929932	-0.60205543
720	719.928223	-0.418501347
730	729.927063	-0.268275946
740	739.926392	-0.151380852
750	749.926025	-0.0678173974
760	759.925903	-0.0175864976
770	769.925903	-0.000688711123
780	779.925903	-0.000706637569
790	789.925903	-0.000725501566
800	799.925903	-0.000744365563
810	809.925903	-0.00076322956
820	819.925903	-0.000782093499
830	829.925903	-0.000800957496
840	839.925903	-0.000819821493
850	849.925903	-0.000838685432
860	859.925903	-0.000857549428
870	869.925903	-0.000876413425
880	879.909607	-0.493019193
890	889.794312	-1.97938347
900	899.481262	-4.44514608
910	908.873596	-7.8656702
920	917.877563	-12.2067785
930	926.403198	-17.4250965
940	934.365234	-23.4684849
950	941.684143	-30.2765579
960	948.286865	-37.7812958
970	954.107361	-45.907711
980	959.1875	-54.519268
990	964.741821	-62.8298569
1000	971.098145	-70.5444183
1010	978.19281	-77.5858688
1020	985.955017	-83.8838577
1030	994.307251	-89.3754501
1040	1003.16595	-94.0057831
1050	1012.44263	-97.7285843
1060	1022.04468	-100.50666
1070	1031.8761	-102.312256
1080	1041.83862	-103.127327
1090	1051.83276	-102.943733
1100	1061.75867	-101.763306
1110	1071.51709	-99.597847
1120	1081.01062	-96.4689789
1130	1090.14441	-92.4079742
1140	1098.82703	-87.4553986
1150	1106.97192	-81.660759
1160	1114.49756	-75.0819244
1170	1121.32886	-67.7846527
1180	1127.39746	-59.8418465
1190	1132.64368	-51.3332825
1200	1137.93896	-42.8552895
1210	1144.0542	-34.9483032
1220	1150.92822	-27.6913223
1230	1158.49243	-21.1568584
1240	1166.67126	-15.410203
1250	1175.38293	-10.5087738
1260	1184.54041	-6.501544
1270	1194.05212	-3.42855263
1280	1203.82312	-1.32050419
1290	1213.75574	-0.198461503
1300	1223.75085	-0.0736356378
1310	1233.70837	-0.947273791
1320	1243.52905	-2.81064701
1330	1253.11462	-5.64513683
1340	1262.36926	-9.42242241
1350	1271.20056	-14.1047611
1360	1279.52039	-19.6453705
1370	1287.4884	-25.6853256
1380	1295.94275	-31.0184288
1390	1304.88721	-35.4808693
1400	1314.23242	-39.0280647
1410	1323.88513	-41.6245651
1420	1333.7489	-43.2444305
1430	1343.72498	-43.8714752
1440	1353.71387	-43.4994354
1450	1363.61572	-42.1320267
1460	1373.33167	-39.7829132
1470	1382.76453	-36.4755669
1480	1391.81995	-32.2430305
1490	1400.40771	-27.1275959
1500	1408.45105	-21.1918259
1510	1416.62683	-15.440917
1520	1425.33594	-10.5349588
1530	1434.49121	-6.52296734
1540	1444.00146	-3.44503045
1550	1453.77136	-1.33190143
1560	1463.70337	-0.204693854
1570	1473.69836	-0.074670583
1580	1483.65649	-0.943130672
1590	1493.47803	-2.80139685
1600	1503.06506	-5.63090181
1610	1512.32166	-9.40337372
1620	1521.1554	-14.0811205
1630	1529.47803	-19.617403
1640	1537.20642	-25.9569035
1650	1544.26331	-33.0362816
1660	1550.57812	-40.7848015
1670	1556.08777	-49.125042
1680	1560.73743	-57.973671
1690	1564.48035	-67.2422714
1700	1567.2793	-76.8382492
1710	1569.1062	-86.6657028
1720	1569.94287	-96.6264572
1730	1569.78101	-106.620979
1740	1568.62219	-116.549416
1750	1566.47791	-126.312546
1760	1563.36975	-135.812836
1770	1559.32849	-144.955368
1780	1554.3949	-153.648773
1790	1548.61792	-161.806213
1800	1542.05542	-169.346161
1810	1534.77307	-176.193283
1820	1526.84338	-182.279175
1830	1518.34583	-187.543015
1840	1509.36523	-191.93222
1850	1499.99133	-195.402939
1860	1490.31775	-197.920471
1870	1480.44104	-199.459686
1880	1470.46008	-200.005203
1890	1460.47461	-199.551559
1900	1450.56506	-198.21991
1910	1440.67261	-196.75737
1920	1430.78015	-195.294846
1930	1420.8877	-193.832321
1940	1410.99512	-192.369797
1950	1401.10266	-190.907272
1960	1391.21021	-189.444733
1970	1381.31775	-187.982208
1980	1371.42529	-186.519684
1990	1361.53284	-185.057159
2000	1351.64038	-183.59462
2010	1341.74792	-182.132095
2020	1331.8501	-180.708313
2030	1321.87781	-180.021057
2040	1311.88684	-180.332779
2050	1301.97693	-181.640381
2060	1292.24707	-183.930801
2070	1282.79443	-187.181137
2080	1273.7135	-191.358917
2090	1265.09509	-196.422424
2100	1257.02515	-202.32103
2110	1249.58447	-208.995804
2120	1242.84729	-216.380081
2130	1236.88098	-224.40004
2140	1231.74524	-232.975586
