# format	robotrace-shortcut-course-v1
# course_id	2016alljapan
# source_file	examples/synthetic/2016alljapan.json
# source_hash	86b79e358334a78a9e9c948135bf61320f4511cee185a7bde2a34ae2cb28424b
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	860	0
870	870	0
880	880	0
890	890	0
900	900	0
910	910	0
920	920	0
930	930	0
940	940	0
950	950	0
960	960	0
970	970	0
980	980	0
990	990	0
1000	1000	0
1010	1010	0
1020	1020	0
1030	1030	0
1040	1040	0
1050	1050	0
1060	1060	0
1070	1070	0
1080	1080	0
1090	1090	0
1100	1100	0
1110	1110	0
1120	1120	0
1130	1130	0
1140	1140	0
1150	1150	0
1160	1160	0
1170	1170	0
1180	1180	0
1190	1190	0
1200	1200	0
1210	1210	0
1220	1220	0
1230	1230	0
1240	1240	0
1250	1250	0
1260	1260	0
1270	1270	0
1280	1280	0
1290	1290	0
1300	1300	0
1310	1310	0
1320	1320	0
1330	1330	0
1340	1340	0
1350	1350	0
1360	1360	0
1370	1370	0
1380	1380	0
1390	1390	0
1400	1400	0
1410	1410	0
1420	1420	0
1430	1430	0
1440	1440	0
1450	1450	0
1460	1460	0
1470	1470	0
1480	1480	0
1490	1490	0
1500	1500	0
1510	1510	0
1520	1520	0
1530	1530	0
1540	1540	0
1550	1550	0
1560	1560	0
1570	1570	0
1580	1580	0
1590	1590	0
1600	1600	0
1610	1610	0
1620	1620	0
1630	1630	0
1640	1640	0
1650	1650	0
1660	1660	0
1670	1670	0
1680	1680	0
1690	1690	0
1700	1700	0
1710	1710	0
1720	1720	0
1730	1730	0
1740	1740	0
1750	1750	0
1760	1760	0
1770	1770	0
1780	1780	0
1790	1790	0
1800	1800	0
1810	1810	0
1820	1820	0
1830	1830	0
1840	1840	0
1850	1850	0
1860	1860	0
1870	1870	0
1880	1880	0
1890	1890	0
1900	1900	0
1910	1910	0
1920	1920	0
1930	1930	0
1940	1940	0
1950	1950	0
1960	1960	0
1970	1970	0
1980	1980	0
1990	1990	0
2000	2000	0
2010	2010	0
2020	2020	0
2030	2030	0
2040	2040	0
2050	2050	0
2060	2060	0
2070	2070	0
2080	2080	0
2090	2090	0
2100	2100	0
2110	2110	0
2120	2120	0
2130	2130	0
2140	2140	0
2150	2150	0
2160	2160	0
2170	2170	0
2180	2180	0
2190	2190	0
2200	2200	0
2210	2210	0
2220	2220	0
2230	2230	0
2240	2240	0
2250	2250	0
2260	2260	0
2270	2270	0
2280	2280	0
2290	2290	0
2300	2300	0
2310	2310	0
2320	2320	0
2330	2330	0
2340	2340	0
2350	2350	0
2360	2360	0
2370	2370	0
2380	2380	0
2390	2390	0
2400	2400	0
2410	2410	0
2420	2420	0
2430	2430	0
2440	2440	0
2450	2450	0
2460	2460	0
2470	2470	0
2480	2480	0
2490	2490	0
2500	2500	0
2510	2510	0
2520	2520	0
2530	2530	0
2540	2540	0
2550	2550	0
2560	2560	0
2570	2570	0
2580	2580	0
2590	2590	0
2600	2600	0
2610	2610	0
2620	2620	0
2630	2630	0
2640	2640	0
2650	2650	0
2660	2660	0
2670	2670	0
2680	2680	0
2690	2690	0
2700	2700	0
2710	2710	0
2720	2720	0
2730	2730	0
2740	2740	0
2750	2750	0
2760	2760	0
2770	2770	0
2780	2780	0
2790	2790	0
2800	2800	0
2810	2810	0
2820	2820	0
2830	2830	0
2840	2840	0
2850	2850	0
2860	2860	0
2870	2870	0
2880	2880	0
2890	2890	0
2900	2900	0
2910	2910	0
2920	2920	0
2930	2930	0
2940	2940	0
2950	2950	0
2960	2960	0
2970	2970	0
2980	2980	0
2990	2990	0
3000	3000	0
3010	3010	0
3020	3020	0
3030	3030	0
3040	3040	0
3050	3050	0
3060	3060	0
3070	3070	0
3080	3080	0
3090	3090	0
3100	3100	0
3110	3110	0
3120	3120	0
3130	3130	0
3140	3140	0
3150	3150	0
3160	3160	0
3170	3170	0
3180	3180	0
3190	3190	0
3200	3200	0
3210	3210	0
3220	3220	0
3230	3230	0
3240	3240	0
3250	3250	0
3260	3260	0
3270	3270	0
3280	3280	0
3290	3290	0
3300	3300	0
3310	3310	0
3320	3320	0
3330	3330	0
3340	3340	0
3350	3350	0
3360	3360	0
3370	3370	0
3380	3380	0
3390	3390	0
3400	3400	0
3410	3410	0
3420	3420	0
3430	3430	0
3440	3440	0
3450	3450	0
3460	3460	0
3470	3470	0
3480	3480	0
3490	3490	0
3500	3500	0
3510	3510	0
3520	3520	0
3530	3530	0
3540	3540	0
3550	3550	0
3560	3560	0
3570	3570	0
3580	3580	0
3590	3590	0
3600	3600	0
3610	3610	0
3620	3620	0
3630	3630	0
3640	3640	0
3650	3650	0
3660	3660	0
3670	3670	0
3680	3680	0
3690	3690	0
3700	3700	0
3710	3710	0
3720	3720	0
3730	3730	0
3740	3740	0
3750	3750	0
3760	3760	0
3770	3770	0
3780	3780	0
3790	3790	0
3800	3800	0
3810	3810	0
3820	3820	0
3830	3830	0
3840	3840	0
3850	3850	0
3860	3860	0
