# format	robotrace-shortcut-course-v1
# course_id	2017alljapan
# source_file	examples/synthetic/2017alljapan.json
# source_hash	663e22797a2ebdf6b96192603cf324daf01e6a2c3d4afc76966ceafa0061e059
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	259.983429	-0.498006821
270	269.867249	-1.99020338
280	279.552734	-4.46168137
290	288.943085	-7.88774681
300	297.944489	-12.2341671
310	306.46701	-17.4575157
320	314.425476	-23.5056
330	321.740387	-30.3179913
340	328.338684	-37.826622
350	334.154358	-45.9564705
360	339.129364	-54.6263008
370	343.213989	-63.7494926
380	346.367401	-73.2348862
390	348.558105	-82.987709
400	349.764191	-92.9105148
410	350.058899	-102.904137
420	350.851349	-112.868515
430	352.634644	-122.703987
440	355.3909	-132.312302
450	359.092651	-141.597443
460	363.70285	-150.466644
470	369.175476	-158.831268
480	375.455811	-166.607773
490	382.48114	-173.71843
500	390.181274	-180.092209
510	398.479218	-185.665405
520	407.292114	-190.382339
530	416.531891	-194.195908
540	426.106232	-197.067978
550	435.919464	-198.969849
560	445.873535	-199.882538
570	455.86908	-200.13797
580	465.806396	-201.217896
590	475.586273	-203.284515
600	485.110962	-206.317154
610	494.285309	-210.285538
620	503.017639	-215.149994
630	511.220734	-220.861923
640	518.812561	-227.364273
650	525.717346	-234.592041
660	531.866028	-242.473038
670	537.197266	-250.928513
680	541.657715	-259.873962
690	545.202759	-269.220032
700	547.797119	-278.873352
710	549.414734	-288.737396
720	550.039551	-298.713684
730	550.048828	-308.713654
740	550.050415	-318.713654
750	550.052002	-328.713654
760	550.053589	-338.713654
770	550.055115	-348.713654
780	550.056702	-358.713654
790	550.058289	-368.713654
800	550.059875	-378.713654
810	550.061462	-388.713654
820	550.063049	-398.713654
830	550.064636	-408.713654
840	550.066223	-418.713654
850	550.06781	-428.713654
860	550.069397	-438.713654
870	550.070984	-448.713654
880	550.07251	-458.713654
890	550.074097	-468.713654
900	550.075684	-478.713654
910	550.077271	-488.713654
920	550.078857	-498.713654
930	550.080444	-508.713654
940	550.082031	-518.713684
950	550.083618	-528.713684
960	550.085205	-538.713684
970	550.086792	-548.713684
980	550.088379	-558.713684
990	550.089905	-568.713684
1000	550.091492	-578.713684
1010	550.093079	-588.713684
1020	550.094666	-598.713684
1030	550.096252	-608.713684
1040	550.097839	-618.713684
1050	550.099426	-628.713684
1060	550.101013	-638.713684
1070	550.1026	-648.713684
1080	550.104187	-658.713684
1090	550.105774	-668.713684
1100	550.107361	-678.713684
1110	550.108887	-688.713684
1120	550.110474	-698.713684
1130	550.112061	-708.713684
1140	550.113647	-718.713684
1150	550.115234	-728.713684
1160	550.116821	-738.713684
1170	550.118408	-748.713684
1180	550.119995	-758.713684
1190	550.121582	-768.713684
1200	550.123169	-778.713684
1210	550.124756	-788.713684
1220	550.126282	-798.713684
1230	550.127869	-808.713684
1240	550.129456	-818.713684
1250	550.131042	-828.713684
1260	550.132629	-838.713684
1270	550.134216	-848.713684
1280	550.135803	-858.713684
1290	550.13739	-868.713684
1300	550.138977	-878.713684
1310	550.140564	-888.713684
1320	550.142151	-898.713684
1330	550.143677	-908.713684
1340	550.145264	-918.713684
1350	550.146851	-928.713684
1360	550.148438	-938.713684
1370	550.150024	-948.713684
1380	550.151611	-958.713684
1390	550.153198	-968.713684
1400	550.154785	-978.713684
1410	550.156372	-988.713684
1420	550.157959	-998.713684
1430	550.159546	-1008.71368
1440	550.161072	-1018.71368
1450	550.162659	-1028.71362
1460	550.164246	-1038.71362
1470	550.165833	-1048.71362
1480	550.167419	-1058.71362
1490	550.169006	-1068.71362
1500	550.170593	-1078.71362
1510	550.17218	-1088.71362
1520	550.173767	-1098.71362
1530	550.175354	-1108.71362
1540	550.176941	-1118.71362
1550	550.178467	-1128.71362
1560	550.180054	-1138.71362
1570	550.181641	-1148.71362
1580	550.183228	-1158.71362
1590	550.184814	-1168.71362
1600	550.186401	-1178.71362
1610	550.187988	-1188.71362
1620	550.189575	-1198.71362
1630	550.191162	-1208.71362
1640	550.192749	-1218.71362
1650	550.194336	-1228.71362
1660	550.195923	-1238.71362
1670	550.197449	-1248.71362
1680	550.199036	-1258.71362
1690	550.200623	-1268.71362
1700	550.202209	-1278.71362
1710	550.203796	-1288.71362
1720	550.205383	-1298.71362
1730	550.20697	-1308.71362
1740	550.208557	-1318.71362
1750	550.210144	-1328.71362
1760	550.211731	-1338.71362
1770	550.213318	-1348.71362
1780	550.214844	-1358.71362
1790	550.216431	-1368.71362
1800	550.218018	-1378.71362
1810	550.219604	-1388.71362
1820	550.221191	-1398.71362
1830	550.222778	-1408.71362
1840	550.224365	-1418.71362
1850	550.225952	-1428.71362
1860	550.227539	-1438.71362
1870	550.229126	-1448.71362
1880	550.230713	-1458.71362
1890	550.232239	-1468.71362
1900	550.233826	-1478.71362
1910	550.235413	-1488.71362
1920	550.237	-1498.71362
1930	550.238586	-1508.71362
1940	550.240173	-1518.71362
1950	550.24176	-1528.71362
1960	550.243347	-1538.71362
1970	550.244934	-1548.71362
1980	550.246521	-1558.71362
1990	550.248108	-1568.71362
2000	550.249634	-1578.71362
2010	550.251221	-1588.71362
2020	550.252808	-1598.71362
2030	550.254395	-1608.71362
2040	550.255981	-1618.71362
2050	550.257568	-1628.71362
2060	550.259155	-1638.71362
2070	550.260742	-1648.71362
2080	550.262329	-1658.71362
2090	550.263916	-1668.71362
2100	550.265503	-1678.71362
2110	550.267029	-1688.71362
2120	550.268616	-1698.71362
2130	550.270203	-1708.71362
2140	550.27179	-1718.71362
2150	550.273376	-1728.71362
2160	550.274963	-1738.71362
2170	550.27655	-1748.71362
2180	550.278137	-1758.71362
2190	550.279724	-1768.71362
2200	550.281311	-1778.71362
