# format	robotrace-shortcut-course-v1
# course_id	2017alljapan_pre
# source_file	examples/synthetic/2017alljapan_pre.json
# source_hash	8cae94b2abb5976e0fe141d328c59ae0229fe6b9850501432305567ae545b131
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	409.997345	0.19997333
420	419.978668	0.799573421
430	429.92804	1.79784107
440	439.829559	3.19317913
450	449.667328	4.98335552
460	459.425659	7.16550636
470	469.088898	9.73614025
480	478.641632	12.6911459
490	488.068573	16.025795
500	497.354584	19.7347507
510	506.484863	23.8120842
520	515.444824	28.2512684
530	524.220032	33.0452042
540	532.79657	38.1862221
550	541.160645	43.6660957
560	549.298889	49.476059
570	557.198242	55.6068192
580	564.846191	62.0485687
590	572.230347	68.7910004
600	579.33905	75.8233261
610	586.160767	83.1342926
620	592.684692	90.7122116
630	598.900391	98.54496
640	604.797913	106.620003
650	610.367737	114.924423
660	615.601074	123.444939
670	620.489441	132.167908
680	625.025085	141.079391
690	629.200806	150.165115
700	633.009766	159.410568
710	636.445984	168.800934
720	639.503967	178.321198
730	642.178772	187.956131
740	644.466125	197.690338
750	646.362427	207.508209
760	647.864563	217.394073
770	648.970215	227.332092
780	649.677551	237.306381
790	649.985413	247.300964
800	650	257.300903
810	650	267.300903
820	650	277.300903
830	650	287.300903
840	650	297.300903
850	650	307.300903
860	650	317.300903
870	650	327.300903
880	650	337.300903
890	650	347.300903
900	650	357.300903
910	650	367.300903
920	650	377.300903
930	650	387.300903
940	650	397.300903
950	650	407.300903
960	650	417.300903
970	650	427.300903
980	650	437.300903
990	650	447.300903
1000	650	457.300903
1010	650	467.300903
1020	650	477.300903
1030	650	487.300903
1040	650	497.300903
1050	650	507.300903
1060	650	517.300903
1070	650	527.300903
1080	650	537.300903
1090	650	547.300903
1100	650	557.300903
1110	650	567.300903
1120	650	577.300903
1130	650	587.300903
1140	650	597.300903
1150	650	607.300903
1160	650	617.300903
1170	650	627.300903
1180	650	637.300903
1190	650	647.300903
1200	650	657.300903
1210	650	667.300903
1220	650	677.300903
1230	650	687.300903
1240	650	697.300903
1250	650.13324	707.299316
1260	650.747864	717.279358
1270	651.860474	727.216187
1280	653.468323	737.085022
1290	655.567444	746.861206
1300	658.152466	756.520203
1310	661.217102	766.037964
1320	664.75354	775.390625
1330	668.752991	784.554871
1340	673.205505	793.507751
1350	678.099915	802.22699
1360	683.42395	810.690613
1370	689.164368	818.877625
1380	695.306763	826.767517
1390	701.835815	834.340515
1400	708.735229	841.577759
1410	715.987671	848.461121
1420	723.575134	854.973389
1430	731.478577	861.098328
1440	739.678223	866.820618
1450	748.153687	872.125916
1460	756.883667	877.000977
1470	765.846375	881.433655
1480	775.01947	885.412842
1490	784.379944	888.928589
1500	793.90448	891.972107
1510	803.569153	894.535828
1520	813.349915	896.613281
1530	823.22229	898.19928
1540	833.161621	899.289917
1550	843.143005	899.882446
1560	853.141663	900
1570	863.141663	900
1580	873.141663	900
1590	883.141663	900
1600	893.141663	900
1610	903.141663	900
1620	913.141663	900
1630	923.141663	900
1640	933.141663	900
1650	943.141663	900
1660	953.141663	900
1670	963.141663	900
1680	973.141663	900
1690	983.141663	900
1700	993.141663	900
1710	1003.14166	900
1720	1013.14166	900
1730	1023.14166	900
1740	1033.1416	900
1750	1043.1416	900
1760	1053.1416	900
1770	1063.1416	900
1780	1073.1416	900
1790	1083.1416	900
1800	1093.1416	900
1810	1103.1416	900
1820	1113.1416	900
1830	1123.1416	900
1840	1133.1416	900
1850	1143.1416	900
1860	1153.1416	900
1870	1163.1416	900
1880	1173.1416	900
1890	1183.1416	900
1900	1193.1416	900
1910	1203.1416	900
1920	1213.1416	900
1930	1223.1416	900
1940	1233.1416	900
1950	1243.1416	900
1960	1253.1416	900
1970	1263.1416	900
1980	1273.1416	900
1990	1283.1416	900
2000	1293.1416	900
2010	1303.1416	900
2020	1313.1416	900
2030	1323.1416	900
2040	1333.1416	900
2050	1343.1416	900
2060	1353.1416	900
2070	1363.1416	900
2080	1373.1416	900
2090	1383.1416	900
2100	1393.1416	900
2110	1403.1416	900
2120	1413.1416	900
2130	1423.1416	900
2140	1433.1416	900
2150	1443.1416	900
2160	1453.1416	900
2170	1463.1416	900
2180	1473.1416	900
2190	1483.1416	900
2200	1493.1416	900
2210	1503.1416	900
2220	1513.1416	900
2230	1523.1416	900
2240	1533.1416	900
2250	1543.1416	900
2260	1553.1416	900
2270	1563.1416	900
2280	1573.1416	900
2290	1583.1416	900
2300	1593.1416	900
2310	1603.1416	900
2320	1613.1416	900
2330	1623.1416	900
2340	1633.1416	900
2350	1643.1416	900
2360	1653.1416	900
2370	1663.1416	900
2380	1673.1416	900
2390	1683.1416	900
2400	1693.1416	900
2410	1703.1416	900
2420	1713.1416	900
2430	1723.1416	900
2440	1733.1416	900
2450	1743.1416	900
2460	1753.1416	900
2470	1763.1416	900
2480	1773.1416	900
2490	1783.1416	900
2500	1793.1416	900
2510	1803.1416	900
2520	1813.1416	900
2530	1823.1416	900
2540	1833.1416	900
2550	1843.1416	900
2560	1853.1416	900
2570	1863.1416	900
2580	1873.1416	900
2590	1883.1416	900
2600	1893.1416	900
2610	1903.1416	900
2620	1913.1416	900
2630	1923.1416	900
2640	1933.1416	900
2650	1943.1416	900
2660	1953.1416	900
2670	1963.1416	900
2680	1973.1416	900
2690	1983.1416	900
2700	1993.1416	900
2710	2003.1416	900
2720	2013.1416	900
2730	2023.1416	900
2740	2033.1416	900
2750	2043.1416	900
2760	2053.1416	900
2770	2063.1416	900
