# format	robotrace-shortcut-course-v1
# course_id	2018alljapan
# source_file	examples/synthetic/2018alljapan.json
# source_hash	d3221b13d6508917cb66a6460670b86db2aa04271c4670e1bf045b8e8796d2d6
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	860	0
870	870	0
880	880	0
890	890	0
900	900	0
910	909.983337	0.499474585
920	919.866943	1.99312556
930	929.552063	4.46602869
940	938.941895	7.89347601
950	947.942688	12.2412205
960	956.464417	17.4658222
970	964.421997	23.5150795
980	971.735962	30.3285465
990	978.33313	37.83815
1000	984.147583	45.968853
1010	989.121338	54.6394157
1020	993.20459	63.7632065
1030	996.356628	73.2490692
1040	998.545898	83.0022125
1050	999.750488	92.9251938
1060	1000.0011	102.919273
1070	1000.00122	112.919273
1080	1000.00134	122.919273
1090	1000.00146	132.919281
1100	1000.00159	142.919281
1110	1000.00165	152.919281
1120	1000.00177	162.919281
1130	1000.00189	172.919281
1140	1000.00201	182.919281
1150	1000.00208	192.919281
1160	1000.0022	202.919281
1170	1000.00232	212.919281
1180	1000.00244	222.919281
1190	1000.00256	232.919281
1200	1000.00262	242.919281
1210	1000.00275	252.919281
1220	1000.00287	262.919281
1230	1000.00299	272.919281
1240	1000.00311	282.919281
1250	1000.00317	292.919281
1260	1000.0033	302.919281
1270	1000.00342	312.919281
1280	1000.00354	322.919281
1290	1000.00366	332.919281
1300	1000.00372	342.919281
1310	1000.00385	352.919281
1320	1000.00397	362.919281
1330	1000.00409	372.919281
1340	1000.00415	382.919281
1350	1000.00427	392.919281
1360	1000.00439	402.919281
1370	1000.00452	412.919281
1380	1000.00464	422.919281
1390	1000.0047	432.919281
1400	1000.00482	442.919281
1410	1000.00494	452.919281
1420	1000.00507	462.919281
1430	1000.00519	472.919281
1440	1000.00525	482.919281
1450	1000.00537	492.919281
1460	1000.00549	502.919281
1470	1000.00562	512.91925
1480	1000.00568	522.91925
1490	1000.0058	532.91925
1500	1000.00592	542.91925
1510	1000.00604	552.91925
1520	1000.00616	562.91925
1530	1000.00623	572.91925
1540	1000.00635	582.91925
1550	1000.00647	592.91925
1560	1000.00659	602.91925
1570	1000.00671	612.91925
1580	1000.00677	622.91925
1590	1000.0069	632.91925
1600	1000.00702	642.91925
1610	1000.00714	652.91925
1620	1000.0072	662.91925
1630	1000.00732	672.91925
1640	1000.00745	682.91925
1650	1000.00757	692.91925
1660	1000.01617	702.91925
1670	1000.17468	712.917847
1680	1000.53314	722.911255
1690	1001.09137	732.895508
1700	1001.84912	742.866577
1710	1002.80615	752.820496
1720	1003.9621	762.753296
1730	1005.31641	772.661011
1740	1006.86859	782.539612
1750	1008.61804	792.385254
1760	1010.56403	802.193909
1770	1012.70575	811.96167
1780	1015.04242	821.684692
1790	1017.57306	831.359009
1800	1020.29669	840.980774
1810	1023.21155	850.546326
1820	1026.1051	860.118408
1830	1028.80664	869.746399
1840	1031.31506	879.426514
1850	1033.62939	889.154846
1860	1035.74866	898.927551
1870	1037.67212	908.740601
1880	1039.39905	918.59021
1890	1040.92847	928.472412
1900	1042.26001	938.383179
1910	1043.39319	948.318604
1920	1044.32739	958.274719
1930	1045.06226	968.247498
1940	1045.59753	978.233032
1950	1045.93298	988.227234
1960	1046.0686	998.226135
1970	1046.00415	1008.22577
1980	1045.73975	1018.22211
1990	1045.27539	1028.21118
2000	1044.61145	1038.18896
2010	1043.74817	1048.15137
2020	1042.68567	1058.0946
2030	1041.42468	1068.01465
2040	1039.96545	1077.90747
2050	1038.30872	1087.76904
2060	1036.45508	1097.59558
2070	1034.40527	1107.38306
2080	1032.16016	1117.12769
2090	1029.7207	1126.82532
2100	1027.08765	1136.47229
2110	1024.26233	1146.0647
2120	1021.31165	1155.61938
2130	1018.52008	1165.22168
2140	1015.92114	1174.87793
2150	1013.51581	1184.58411
2160	1011.30505	1194.33655
2170	1009.28979	1204.13123
2180	1007.47083	1213.96423
2190	1005.84888	1223.83167
2200	1004.42456	1233.72949
2210	1003.19849	1243.65393
2220	1002.17114	1253.60083
2230	1001.3429	1263.56628
2240	1000.71411	1273.54626
2250	1000.2851	1283.53699
2260	1000.05591	1293.53418
2270	1000.01422	1303.53394
2280	1000.01434	1313.53394
2290	1000.01447	1323.53394
2300	1000.01453	1333.53394
2310	1000.01465	1343.53394
2320	1000.01477	1353.53394
2330	1000.01489	1363.53394
2340	1000.01495	1373.53394
2350	1000.01508	1383.53394
2360	1000.0152	1393.53394
2370	1000.01532	1403.53394
2380	1000.01544	1413.53394
2390	1000.0155	1423.53394
2400	1000.01562	1433.53394
2410	1000.01575	1443.53394
2420	1000.01587	1453.53394
2430	1000.01599	1463.53394
2440	1000.01605	1473.53394
2450	1000.01617	1483.53394
2460	1000.0163	1493.53394
2470	1000.01642	1503.53394
2480	1000.01654	1513.53394
2490	1000.0166	1523.53394
2500	1000.01672	1533.53394
2510	1000.01685	1543.53394
2520	1000.01697	1553.53394
2530	1000.01703	1563.53394
2540	1000.01715	1573.53394
