# format	robotrace-shortcut-course-v1
# course_id	2019alljapan
# source_file	examples/synthetic/2019alljapan.json
# source_hash	40d9c015b3c490cf1c3cc328b6fb13e8c6ba39225a656b088e8adccb191b0163
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	559.999329	0.0999966636
570	569.99469	0.39994666
580	579.981995	0.899730027
590	589.957336	1.59914684
600	599.916687	2.49791741
610	609.856079	3.59568214
620	619.771545	4.89200211
630	629.659119	6.38635826
640	639.514771	8.07815361
650	649.334656	9.96671104
660	659.114807	12.0512753
670	668.851318	14.3310127
680	678.540283	16.8050117
690	688.177795	19.4722805
700	697.760132	22.3317547
710	707.31842	25.2705326
720	716.930542	28.0281353
730	726.595825	30.5929565
740	736.310486	32.9639702
750	746.070679	35.1402321
760	755.872375	37.1208687
770	765.711731	38.9050865
780	775.584839	40.4921722
790	785.487671	41.8814926
800	795.416321	43.0724945
810	805.366821	44.0646935
820	815.335205	44.8577003
830	825.317383	45.4511948
840	835.309448	45.8449402
850	845.307434	46.0387764
860	855.307251	46.0326309
870	865.304932	45.8265038
880	875.29657	45.420475
890	885.278015	44.8147087
900	895.245361	44.009449
910	905.194641	43.0050125
920	915.121826	41.8018074
930	925.022949	40.4003143
940	934.894104	38.8010902
950	944.731262	37.0047798
960	954.530518	35.0120926
970	964.287964	32.8238373
980	973.999756	30.4408798
990	983.661926	27.8641777
1000	993.270569	25.094759
1010	1002.82727	22.1504631
1020	1012.41302	19.3027706
1030	1022.05383	16.6473503
1040	1031.74585	14.1852655
1050	1041.48511	11.9175005
1060	1051.26782	9.84496117
1070	1061.09009	7.96847725
1080	1070.94775	6.28879976
1090	1080.83716	4.80660009
1100	1090.75427	3.52247119
1110	1100.69495	2.4369266
1120	1110.6554	1.55040061
1130	1120.63159	0.863247812
1140	1130.61951	0.375743091
1150	1140.61523	0.0880814195
1160	1150.61475	0
1170	1160.61475	0
1180	1170.61475	0
1190	1180.61475	0
1200	1190.61475	0
1210	1200.61475	0
1220	1210.61475	0
1230	1220.61475	0
1240	1230.61475	0
1250	1240.61475	0
1260	1250.61475	0
1270	1260.61475	0
1280	1270.61475	0
1290	1280.61475	0
1300	1290.61475	0
1310	1300.61475	0
1320	1310.61475	0
1330	1320.61475	0
1340	1330.61475	0
1350	1340.61475	0
1360	1350.61475	0
1370	1360.61475	0
1380	1370.61475	0
1390	1380.61475	0
1400	1390.61475	0
1410	1400.61475	0
1420	1410.61475	0
1430	1420.61475	0
1440	1430.61475	0
1450	1440.61475	0
1460	1450.61475	0
1470	1460.61475	0
1480	1470.61475	0
1490	1480.61475	0
1500	1490.61475	0
1510	1500.61475	0
1520	1510.61475	0
1530	1520.61475	0
1540	1530.61475	0
1550	1540.61475	0
1560	1550.61475	0
1570	1560.61475	0
1580	1570.61475	0
1590	1580.61475	0
1600	1590.61475	0
1610	1600.61475	0
1620	1610.61475	0
1630	1620.61475	0
1640	1630.61475	0
1650	1640.61475	0
1660	1650.61475	0
1670	1660.61475	0
1680	1670.61475	0
1690	1680.61475	0
1700	1690.61475	0
1710	1700.61475	0
1720	1710.61475	0
1730	1720.61475	0
1740	1730.61475	0
1750	1740.61475	0
1760	1750.61475	0
1770	1760.61475	0
1780	1770.61475	0
1790	1780.61475	0
1800	1790.61475	0
1810	1800.61475	0
1820	1810.61475	0
1830	1820.61475	0
1840	1830.61475	0
1850	1840.61475	0
1860	1850.61475	0
1870	1860.61475	0
1880	1870.61475	0
1890	1880.61475	0
1900	1890.61475	0
1910	1900.61475	0
1920	1910.61475	0
1930	1920.61475	0
1940	1930.61475	0
1950	1940.61475	0
1960	1950.61475	0
1970	1960.61475	0
1980	1970.61475	0
1990	1980.61475	0
2000	1990.61475	0
2010	2000.61475	0
2020	2010.61475	0
2030	2020.61475	0
2040	2030.61475	0
2050	2040.61475	0
2060	2050.61475	0
2070	2060.61475	0
2080	2070.61475	0
2090	2080.61475	0
2100	2090.61475	0
2110	2100.61475	0
2120	2110.61475	0
2130	2120.61475	0
2140	2130.61475	0
2150	2140.61475	0
2160	2150.61475	0
2170	2160.61475	0
2180	2170.61475	0
2190	2180.61475	0
2200	2190.61475	0
2210	2200.61475	0
2220	2210.61475	0
2230	2220.61475	0
2240	2230.61475	0
2250	2240.61475	0
2260	2250.61475	0
2270	2260.61475	0
2280	2270.61475	0
2290	2280.61475	0
2300	2290.61475	0
2310	2300.61475	0
2320	2310.61475	0
2330	2320.61475	0
2340	2330.61475	0
2350	2340.61475	0
2360	2350.61475	0
2370	2360.61475	0
2380	2370.61475	0
2390	2380.61475	0
2400	2390.61475	0
2410	2400.61475	0
2420	2410.61475	0
2430	2420.61475	0
2440	2430.61475	0
2450	2440.61475	0
2460	2450.61475	0
2470	2460.61475	0
2480	2470.61475	0
2490	2480.61475	0
2500	2490.61475	0
2510	2500.61475	0
2520	2510.61475	0
2530	2520.61475	0
2540	2530.61475	0
2550	2540.61475	0
2560	2550.61475	0
2570	2560.61475	0
2580	2570.61475	0
2590	2580.61475	0
2600	2590.61475	0
2610	2600.61475	0
2620	2610.61475	0
2630	2620.61475	0
2640	2630.61475	0
2650	2640.61475	0
2660	2650.61475	0
2670	2660.61475	0
2680	2670.61475	0
2690	2680.61475	0
2700	2690.61475	0
2710	2700.61475	0
2720	2710.61475	0
2730	2720.61475	0
2740	2730.61475	0
