# format	robotrace-shortcut-course-v1
# course_id	2019east
# source_file	examples/synthetic/2019east.json
# source_hash	f3bf2f026c0674a874cc979788c6b2e9ad3a4b38d34f47fd5844d531a425f9b1
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	859.998169	0.166651234
870	869.985168	0.666419804
880	879.950012	1.49875045
890	889.881592	2.6627183
900	899.76886	4.15703058
910	909.600769	5.98002672
920	919.366516	8.12968159
930	929.055237	10.6036062
940	938.656067	13.3990536
950	948.158386	16.5129166
960	957.551697	19.9417362
970	966.8255	23.6817017
980	975.969482	27.7286606
990	984.973572	32.0781136
1000	993.827637	36.7252312
1010	1002.52197	41.6648483
1020	1011.04681	46.8914795
1030	1019.39276	52.3993149
1040	1027.55042	58.1822395
1050	1035.51099	64.2338181
1060	1043.26526	70.5473404
1070	1050.80493	77.1157913
1080	1058.12146	83.9318619
1090	1065.20679	90.9879837
1100	1072.0531	98.276329
1110	1078.65259	105.78878
1120	1084.99805	113.517006
1130	1091.08252	121.452423
1140	1096.89905	129.586197
1150	1102.44128	137.909302
1160	1107.70312	146.412506
1170	1112.67859	155.086334
1180	1117.36218	163.921158
1190	1121.74878	172.907181
1200	1125.8335	182.034393
1210	1129.61169	191.292679
1220	1133.07935	200.671722
1230	1136.23242	210.161133
1240	1139.0675	219.750351
1250	1141.58142	229.428726
1260	1143.77136	239.185516
1270	1145.63489	249.009857
1280	1147.17004	258.890869
1290	1148.375	268.817535
1300	1149.24854	278.778839
1310	1149.78955	288.763733
1320	1149.99744	298.761108
1330	1150	308.761108
1340	1150	318.761108
1350	1150	328.761108
1360	1150	338.761108
1370	1150	348.761108
1380	1150	358.761108
1390	1150	368.761108
1400	1150	378.761108
1410	1150	388.761108
1420	1150	398.761108
1430	1150	408.761108
1440	1150	418.761108
1450	1150	428.761108
1460	1150	438.761108
1470	1150	448.761108
1480	1150	458.761108
1490	1150	468.761108
1500	1150	478.761108
1510	1150	488.761108
1520	1150	498.761108
1530	1150	508.761108
1540	1150	518.761108
1550	1150	528.761108
1560	1150	538.761108
1570	1150	548.761108
1580	1150	558.761108
1590	1150	568.761108
1600	1150	578.761108
1610	1150	588.761108
1620	1150	598.761108
1630	1150	608.761108
1640	1150	618.761108
1650	1150	628.761108
1660	1150	638.761108
1670	1150	648.761108
1680	1150	658.761108
1690	1150	668.761108
1700	1150	678.761108
1710	1150	688.761108
1720	1150	698.761108
1730	1150	708.761108
1740	1150	718.761108
1750	1150	728.761108
1760	1150	738.761108
1770	1150	748.761108
1780	1150	758.761108
1790	1150	768.761108
1800	1150	778.761108
1810	1150	788.761108
1820	1150	798.761108
1830	1150	808.761108
1840	1150	818.761108
1850	1150	828.761108
1860	1150	838.761108
1870	1150	848.761108
1880	1150	858.761108
1890	1150	868.761108
1900	1150	878.761108
1910	1150	888.761108
1920	1150	898.761108
1930	1150	908.761108
1940	1150	918.761108
1950	1150	928.761108
1960	1150	938.761108
1970	1150	948.761108
1980	1150	958.761108
1990	1150	968.761108
2000	1150	978.761108
2010	1150	988.761108
2020	1150	998.761108
2030	1150	1008.76111
2040	1150	1018.76111
2050	1150	1028.76111
2060	1150	1038.76111
2070	1150	1048.76111
2080	1150	1058.76111
2090	1150	1068.76111
2100	1150	1078.76111
2110	1150	1088.76111
2120	1150	1098.76111
2130	1150	1108.76111
2140	1150	1118.76111
2150	1150	1128.76111
2160	1150	1138.76111
2170	1150	1148.76111
2180	1150	1158.76111
2190	1150	1168.76111
2200	1150	1178.76111
2210	1150	1188.76111
2220	1150	1198.76111
2230	1150	1208.76111
2240	1150	1218.76111
2250	1150	1228.76111
2260	1150	1238.76111
2270	1150	1248.76111
2280	1150	1258.76111
2290	1150	1268.76111
2300	1150	1278.76111
2310	1150	1288.76111
2320	1150	1298.76111
2330	1150	1308.76111
2340	1150	1318.76111
2350	1150	1328.76111
2360	1150	1338.76111
2370	1150	1348.76111
2380	1150	1358.76111
2390	1150	1368.76111
2400	1150	1378.76111
2410	1150	1388.76111
2420	1150	1398.76111
2430	1150	1408.76111
2440	1150	1418.76111
2450	1150	1428.76111
2460	1150	1438.76111
2470	1150	1448.76111
2480	1150	1458.76111
2490	1150	1468.76111
2500	1150	1478.76111
2510	1150	1488.76111
2520	1150	1498.76111
2530	1150	1508.76111
2540	1150	1518.76111
2550	1150	1528.76111
2560	1150	1538.76111
2570	1150	1548.76111
2580	1150	1558.76111
2590	1150	1568.76111
2600	1150	1578.76111
2610	1150	1588.76111
2620	1150	1598.76111
2630	1150	1608.76111
2640	1150	1618.76111
2650	1150	1628.76111
2660	1150	1638.76111
2670	1150	1648.76111
2680	1150	1658.76111
2690	1150	1668.76111
2700	1150	1678.76111
2710	1150	1688.76111
2720	1150	1698.76111
2730	1150	1708.76111
2740	1150	1718.76111
2750	1150	1728.76111
2760	1150	1738.76111
2770	1150	1748.76111
2780	1150	1758.76111
2790	1150	1768.76111
2800	1150	1778.76111
2810	1150	1788.76111
2820	1150	1798.76111
