# format	robotrace-shortcut-course-v1
# course_id	2019kansai
# source_file	examples/synthetic/2019kansai.json
# source_hash	9bc90d6be701cd168dccb3e0c2e797cd53874f648cc27d13f3d9caf560de0ca1
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	569.998535	-0.125422329
580	579.979248	-0.729160607
590	589.917297	-1.83097219
600	599.787903	-3.42810321
610	609.566284	-5.51656151
620	619.228149	-8.0911274
630	628.749207	-11.1453648
640	638.105713	-14.6716413
650	647.274292	-18.6611423
660	656.232056	-23.1038952
670	664.956543	-27.9887962
680	673.426025	-33.3036346
690	681.619263	-39.0351295
700	689.515808	-45.1689529
710	697.095886	-51.6897697
720	704.340637	-58.5812874
730	711.231873	-65.8262787
740	717.75238	-73.4066315
750	723.885925	-81.3034058
760	729.617126	-89.4968567
770	734.931641	-97.9665146
780	739.816223	-106.691193
790	744.258667	-115.649101
800	748.247803	-124.817841
810	751.773743	-134.1745
820	754.827576	-143.695679
830	757.401794	-153.357605
840	759.489929	-163.136093
850	761.08667	-173.006744
860	762.18811	-182.944839
870	762.791443	-192.925583
880	762.895264	-202.923996
890	762.499207	-212.915115
900	761.604248	-222.873947
910	760.212769	-232.775604
920	758.328064	-242.595337
930	755.955017	-252.308609
940	753.099426	-261.891144
950	749.768433	-271.31897
960	745.970459	-280.568542
970	741.714966	-289.61673
980	737.012512	-298.440918
990	731.874939	-307.019043
1000	726.315063	-315.329712
1010	720.381714	-323.378662
1020	714.38031	-331.377594
1030	708.378906	-339.376556
1040	702.377502	-347.375488
1050	696.376099	-355.374451
1060	690.374695	-363.373383
1070	684.37323	-371.372345
1080	678.371826	-379.371277
1090	672.370422	-387.370209
1100	666.369019	-395.369171
1110	660.367615	-403.368103
1120	654.366211	-411.367065
1130	648.364807	-419.365997
1140	642.363403	-427.364929
1150	636.362	-435.363892
1160	630.360596	-443.362823
1170	624.359192	-451.361786
1180	618.357788	-459.360718
1190	612.356384	-467.35965
1200	606.35498	-475.358612
1210	600.353577	-483.357544
1220	594.352173	-491.356506
1230	588.350769	-499.355438
1240	582.349365	-507.35437
1250	576.3479	-515.353333
1260	570.346497	-523.352295
1270	564.345093	-531.351196
1280	558.343689	-539.350159
1290	552.342285	-547.349121
1300	546.340881	-555.348022
1310	540.339478	-563.346985
1320	534.338074	-571.345947
1330	528.33667	-579.34491
1340	522.335266	-587.343811
1350	516.333862	-595.342773
1360	510.332458	-603.341736
1370	504.331055	-611.340637
1380	498.32962	-619.3396
1390	492.328217	-627.338562
1400	486.326813	-635.337524
1410	480.325409	-643.336426
1420	474.324005	-651.335388
1430	468.322601	-659.334351
1440	462.321198	-667.333252
1450	456.319794	-675.332214
1460	450.31839	-683.331177
1470	444.316956	-691.330078
1480	438.315552	-699.329041
1490	432.314148	-707.328003
1500	426.312744	-715.326965
1510	420.31134	-723.325867
1520	414.309937	-731.324829
1530	408.308533	-739.323792
1540	402.307129	-747.322693
1550	396.305725	-755.321655
1560	390.304291	-763.320618
1570	384.302887	-771.319519
1580	378.301483	-779.318481
1590	372.300079	-787.317444
1600	366.298676	-795.316406
1610	360.297272	-803.315308
1620	354.295868	-811.31427
1630	348.294464	-819.313232
1640	342.29303	-827.312134
1650	336.291626	-835.311096
1660	330.290222	-843.310059
1670	324.288818	-851.309021
1680	318.287415	-859.307922
1690	312.286011	-867.306885
1700	306.284607	-875.305847
1710	300.283203	-883.304749
1720	294.281799	-891.303711
1730	288.280365	-899.302673
1740	282.278961	-907.301575
1750	276.277557	-915.300537
1760	270.276154	-923.2995
1770	264.27475	-931.298462
1780	258.273346	-939.297363
1790	252.271942	-947.296326
1800	246.270523	-955.295288
1810	240.269119	-963.294189
1820	234.267715	-971.293152
1830	228.266312	-979.292114
1840	222.264893	-987.291016
1850	216.263489	-995.289978
1860	210.262085	-1003.28894
1870	204.260681	-1011.2879
1880	198.259277	-1019.2868
1890	192.257858	-1027.28577
1900	186.256454	-1035.28467
1910	180.255051	-1043.28369
1920	174.253647	-1051.28259
1930	168.252228	-1059.28149
1940	162.250824	-1067.28052
1950	156.24942	-1075.27942
1960	150.248016	-1083.27832
1970	144.246597	-1091.27734
1980	138.245193	-1099.27625
1990	132.24379	-1107.27527
2000	126.242386	-1115.27417
2010	120.240974	-1123.27307
2020	114.239571	-1131.27209
2030	108.238159	-1139.271
2040	102.236755	-1147.2699
2050	96.2353439	-1155.26892
2060	90.2339401	-1163.26782
2070	84.2325287	-1171.26672
2080	78.2311249	-1179.26575
2090	72.2297134	-1187.26465
2100	66.2283096	-1195.26355
2110	60.226902	-1203.26257
2120	54.2254944	-1211.26147
2130	48.2240868	-1219.26038
2140	42.2226791	-1227.2594
2150	36.2212715	-1235.2583
2160	30.2198658	-1243.25732
2170	24.2184582	-1251.25623
2180	18.2170506	-1259.25513
2190	12.2156439	-1267.25415
2200	6.21423674	-1275.25305
2210	0.212829515	-1283.25195
2220	-5.78857756	-1291.25098
2230	-11.7899847	-1299.24988
2240	-17.7913933	-1307.24878
2250	-23.792799	-1315.2478
2260	-29.7942066	-1323.2467
2270	-35.7956123	-1331.24561
2280	-41.79702	-1339.24463
2290	-47.7984276	-1347.24353
2300	-53.7998352	-1355.24243
2310	-59.8012428	-1363.24146
2320	-65.8026505	-1371.24036
2330	-71.8040543	-1379.23926
2340	-77.8054657	-1387.23828
