# format	robotrace-shortcut-course-v1
# course_id	2020shorttrack
# source_file	examples/synthetic/2020shorttrack.json
# source_hash	3cf39b5a0eed1c29c4f5831e1b78c4e25d4e99c467706d287e0352aef39d2809
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	259.998138	-0.166651234
270	269.985199	-0.666419804
280	279.950012	-1.49875045
290	289.881592	-2.6627183
300	299.768829	-4.15703058
310	309.6008	-5.98002672
320	319.366547	-8.12968159
330	329.055206	-10.6036062
340	338.656067	-13.3990536
350	348.158417	-16.5129166
360	357.551697	-19.9417362
370	366.8255	-23.6817017
380	375.969513	-27.7286606
390	384.973572	-32.0781136
400	393.827667	-36.7252312
410	402.521973	-41.6648483
420	411.046814	-46.8914795
430	419.392731	-52.3993149
440	427.550476	-58.1822395
450	435.510956	-64.2338181
460	443.26532	-70.5473404
470	450.804962	-77.1157913
480	458.12149	-83.9318619
490	465.206818	-90.9879837
500	472.05307	-98.276329
510	478.652588	-105.78878
520	484.998077	-113.517006
530	491.082489	-121.452423
540	496.899048	-129.586197
550	502.441284	-137.909302
560	507.703094	-146.412506
570	512.678589	-155.086334
580	517.362183	-163.921158
590	521.748779	-172.907181
600	525.833496	-182.034393
610	529.611755	-191.292679
620	533.079285	-200.671722
630	536.232361	-210.161133
640	539.067444	-219.750351
650	541.58136	-229.428726
660	543.771362	-239.185516
670	545.634949	-249.009857
680	547.170044	-258.890869
690	548.375	-268.817535
700	549.248474	-278.778839
710	549.78949	-288.763733
720	549.997437	-298.761108
730	550	-308.761108
740	550	-318.761108
750	550	-328.761108
760	550	-338.761108
770	550	-348.761108
780	550	-358.761108
790	550	-368.761108
800	550	-378.761108
810	550	-388.761108
820	550	-398.761108
830	550	-408.761108
840	550	-418.761108
850	550	-428.761108
860	550	-438.761108
870	550	-448.761108
880	550	-458.761108
890	550	-468.761108
900	550	-478.761108
910	550	-488.761108
920	550	-498.761108
930	550	-508.761108
940	550	-518.761108
950	550	-528.761108
960	550	-538.761108
970	550	-548.761108
980	550	-558.761108
990	550	-568.761108
1000	550	-578.761108
1010	550	-588.761108
1020	550	-598.761108
1030	550	-608.761108
1040	550	-618.761108
1050	550	-628.761108
1060	550	-638.761108
1070	550	-648.761108
1080	550	-658.761108
1090	550	-668.761108
1100	550	-678.761108
1110	550	-688.761108
1120	550	-698.761108
1130	550	-708.761108
1140	550	-718.761108
1150	550	-728.761108
1160	550	-738.761108
1170	550	-748.761108
1180	550	-758.761108
1190	550	-768.761108
1200	550	-778.761108
1210	550	-788.761108
1220	550	-798.761108
1230	550	-808.761108
1240	550	-818.761108
1250	550	-828.761108
1260	550	-838.761108
1270	550	-848.761108
1280	550	-858.761108
1290	550	-868.761108
1300	550	-878.761108
1310	550	-888.761108
1320	550	-898.761108
1330	550	-908.761108
1340	550	-918.761108
1350	550	-928.761108
1360	550	-938.761108
1370	550	-948.761108
1380	550	-958.761108
1390	550	-968.761108
1400	550	-978.761108
1410	550	-988.761108
1420	550	-998.761108
1430	550	-1008.76111
1440	550	-1018.76111
1450	550	-1028.76111
1460	550	-1038.76111
1470	550	-1048.76111
1480	550	-1058.76111
1490	550	-1068.76111
1500	550	-1078.76111
1510	550	-1088.76111
1520	550	-1098.76111
1530	550	-1108.76111
1540	550	-1118.76111
1550	550	-1128.76111
1560	550	-1138.76111
1570	550	-1148.76111
1580	549.744202	-1158.7561
1590	548.828247	-1168.71228
1600	547.251099	-1178.58521
1610	545.019714	-1188.33118
1620	542.144043	-1197.90686
1630	538.636902	-1207.26965
1640	534.513733	-1216.37805
1650	529.79303	-1225.19153
1660	524.495667	-1233.67102
1670	518.645142	-1241.77869
1680	512.267578	-1249.47864
1690	505.391174	-1256.73657
1700	498.046539	-1263.52039
1710	490.266327	-1269.7998
1720	482.085052	-1275.547
1730	473.539124	-1280.73633
1740	464.666473	-1285.34497
1750	455.5065	-1289.35217
1760	446.099945	-1292.74036
1770	436.488556	-1295.49426
1780	426.715057	-1297.60181
1790	416.822876	-1299.05371
1800	406.855957	-1299.84326
1810	396.858582	-1299.96704
1820	386.875153	-1299.42468
1830	376.950043	-1298.21838
1840	367.127319	-1296.35364
1850	357.450684	-1293.83862
1860	347.963043	-1290.68457
1870	338.706604	-1286.90552
1880	329.722504	-1282.51819
1890	321.050598	-1277.54211
1900	312.729462	-1271.99939
1910	304.796082	-1265.91467
1920	297.285645	-1259.31494
1930	290.231537	-1252.22961
1940	283.665131	-1244.68994
1950	277.61554	-1236.72974
1960	272.109711	-1228.38416
1970	267.172058	-1219.69031
1980	262.824554	-1210.68689
1990	259.086487	-1201.41382
2000	255.974457	-1191.91235
2010	253.502304	-1182.22461
2020	251.681015	-1172.3938
2030	250.518692	-1162.46338
2040	250.020462	-1152.47766
2050	250	-1142.47778
2060	250	-1132.47778
2070	250	-1122.47778
2080	250	-1112.47778
2090	250	-1102.47778
2100	250	-1092.47778
2110	250	-1082.47778
2120	250	-1072.47778
2130	250	-1062.47778
2140	250	-1052.47778
2150	250	-1042.47778
2160	250	-1032.47778
2170	250	-1022.47778
2180	250	-1012.47778
2190	250	-1002.47778
2200	250	-992.477783
2210	250	-982.477783
2220	250	-972.477783
2230	250	-962.477783
2240	250	-952.477783
2250	250	-942.477783
2260	250	-932.477783
2270	250	-922.477783
2280	250	-912.477783
2290	250	-902.477783
2300	250	-892.477783
2310	250	-882.477783
2320	250	-872.477783
2330	250	-862.477783
2340	250	-852.477783
2350	250	-842.477783
2360	250	-832.477783
2370	250	-822.477783
2380	250	-812.477783
2390	250	-802.477783
2400	250	-792.477783
2410	250	-782.477783
2420	250	-772.477783
2430	250	-762.477783
2440	250	-752.477783
2450	250	-742.477783
2460	250	-732.477783
