# format	robotrace-shortcut-course-v1
# course_id	2021alljapan
# source_file	examples/synthetic/2021alljapan.json
# source_hash	911e0fcd2753915cbd935e4790520a7dc4147ceb7c7ca3beae2c0e6061b65a95
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	860	0
870	870	0
880	880	0
890	890	0
900	900	0
910	910	0
920	920	0
930	930	0
940	940	0
950	950	0
960	960	0
970	970	0
980	980	0
990	990	0
1000	1000	0
1010	1010	0
1020	1020	0
1030	1030	0
1040	1040	0
1050	1050	0
1060	1060	0
1070	1070	0
1080	1080	0
1090	1090	0
1100	1100	0
1110	1109.99255	-0.333209902
1120	1119.9408	-1.33135915
1130	1129.80042	-2.99001336
1140	1139.52759	-5.30180311
1150	1149.07922	-8.25645828
1160	1158.41272	-11.8408508
1170	1167.48682	-16.0390568
1180	1176.26099	-20.8324242
1190	1184.69641	-26.1996574
1200	1192.75549	-32.116909
1210	1200.40247	-38.5578957
1220	1207.60339	-45.4939919
1230	1214.32629	-52.8943901
1240	1220.54126	-60.7262115
1250	1226.2207	-68.9546509
1260	1231.33923	-77.5431671
1270	1235.87439	-86.4535904
1280	1239.80591	-95.6463394
1290	1243.11621	-105.080566
1300	1245.79065	-114.714363
1310	1247.8175	-124.504929
1320	1249.1875	-134.408768
1330	1249.89478	-144.381866
1340	1250	-154.380554
1350	1250	-164.380554
1360	1250	-174.380554
1370	1250	-184.380554
1380	1250	-194.380554
1390	1250	-204.380554
1400	1250	-214.380554
1410	1250	-224.380554
1420	1250	-234.380554
1430	1250	-244.380554
1440	1250	-254.380554
1450	1250	-264.380554
1460	1250	-274.380554
1470	1250	-284.380554
1480	1250	-294.380554
1490	1250	-304.380554
1500	1250	-314.380554
1510	1250	-324.380554
1520	1250	-334.380554
1530	1250	-344.380554
1540	1250	-354.380554
1550	1250	-364.380554
1560	1250	-374.380554
1570	1250	-384.380554
1580	1250	-394.380554
1590	1250	-404.380554
1600	1250	-414.380554
1610	1250	-424.380554
1620	1250	-434.380554
1630	1250	-444.380554
1640	1250	-454.380554
1650	1250	-464.380554
1660	1250	-474.380554
1670	1250	-484.380554
1680	1250	-494.380554
1690	1250	-504.380554
1700	1250	-514.380554
1710	1250	-524.380554
1720	1250	-534.380554
1730	1250	-544.380554
1740	1250	-554.380554
1750	1250	-564.380554
1760	1250	-574.380554
1770	1250	-584.380554
1780	1250	-594.380554
1790	1250	-604.380554
1800	1250	-614.380554
1810	1250	-624.380554
1820	1250	-634.380554
1830	1250	-644.380554
1840	1250	-654.380554
1850	1250	-664.380554
1860	1250	-674.380554
1870	1250	-684.380554
1880	1250	-694.380554
1890	1250	-704.380554
1900	1250	-714.380554
1910	1250	-724.380554
1920	1250	-734.380554
1930	1250	-744.380554
1940	1250	-754.380554
1950	1250	-764.380554
1960	1250	-774.380554
1970	1250	-784.380554
1980	1250	-794.380554
1990	1250	-804.380554
2000	1250	-814.380554
2010	1250	-824.380554
2020	1250	-834.380554
2030	1250	-844.380554
2040	1250	-854.380554
2050	1250	-864.380554
2060	1250	-874.380554
2070	1250	-884.380554
2080	1250	-894.380554
2090	1250	-904.380554
2100	1250	-914.380554
2110	1250	-924.380554
2120	1250	-934.380554
2130	1250	-944.380554
2140	1250	-954.380554
2150	1250	-964.380554
2160	1250	-974.380554
2170	1250	-984.380554
2180	1250	-994.380554
2190	1250	-1004.38055
2200	1250	-1014.38055
2210	1250	-1024.38049
2220	1250	-1034.38049
2230	1250	-1044.38049
2240	1250	-1054.38049
2250	1250	-1064.38049
2260	1250	-1074.38049
2270	1250	-1084.38049
2280	1250	-1094.38049
2290	1250	-1104.38049
2300	1250	-1114.38049
2310	1250	-1124.38049
2320	1250	-1134.38049
2330	1250	-1144.38049
2340	1250	-1154.38049
2350	1250	-1164.38049
2360	1250	-1174.38049
2370	1250	-1184.38049
2380	1250	-1194.38049
2390	1250	-1204.38049
2400	1250	-1214.38049
2410	1250	-1224.38049
2420	1250	-1234.38049
2430	1250	-1244.38049
2440	1250	-1254.38049
2450	1250	-1264.38049
2460	1250	-1274.38049
2470	1250	-1284.38049
2480	1250	-1294.38049
2490	1250	-1304.38049
2500	1250	-1314.38049
2510	1250	-1324.38049
2520	1250	-1334.38049
2530	1250	-1344.38049
2540	1250	-1354.38049
2550	1250	-1364.38049
2560	1250	-1374.38049
2570	1250	-1384.38049
2580	1250	-1394.38049
2590	1250	-1404.38049
2600	1250	-1414.38049
2610	1250	-1424.38049
2620	1250	-1434.38049
2630	1250	-1444.38049
2640	1250	-1454.38049
2650	1250	-1464.38049
2660	1250	-1474.38049
2670	1250	-1484.38049
2680	1250	-1494.38049
2690	1250	-1504.38049
2700	1250	-1514.38049
2710	1250	-1524.38049
2720	1250	-1534.38049
2730	1250	-1544.38049
2740	1250	-1554.38049
2750	1250	-1564.38049
2760	1250	-1574.38049
2770	1250	-1584.38049
2780	1250	-1594.38049
2790	1250	-1604.38049
2800	1250	-1614.38049
2810	1250	-1624.38049
