# format	robotrace-shortcut-course-v1
# course_id	2022alljapan
# source_file	examples/synthetic/2022alljapan.json
# source_hash	a4b5b3f503dcce0452d99f9b62497b1418917c0d62471215dcb70736d77722bc
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	209.999329	-0.0999966636
220	219.994675	-0.39994666
230	229.98201	-0.899730027
240	239.957352	-1.59914684
250	249.916702	-2.49791741
260	259.85611	-3.59568214
270	269.771545	-4.89200211
280	279.659088	-6.38635826
290	289.514801	-8.07815361
300	299.334656	-9.96671104
310	309.114807	-12.0512753
320	318.851318	-14.3310127
330	328.540283	-16.8050117
340	338.177826	-19.4722805
350	347.760101	-22.3317547
360	357.283295	-25.3822918
370	366.743561	-28.6226673
380	376.137115	-32.05159
390	385.460236	-35.6676826
400	394.709167	-39.4695015
410	403.880219	-43.4555283
420	412.969727	-47.6241684
430	421.97406	-51.9737511
440	430.889587	-56.5025368
450	439.712769	-61.2087173
460	448.440063	-66.0904083
470	457.067993	-71.1456604
480	465.593109	-76.3724442
490	474.011963	-81.7686768
500	482.321228	-87.3321915
510	490.517578	-93.0607681
520	498.597717	-98.9521179
530	506.558441	-105.003883
540	514.396484	-111.213638
550	522.108826	-117.578903
560	529.692322	-124.097137
570	537.143982	-130.765717
580	544.460693	-137.582001
590	551.639709	-144.543228
600	558.67804	-151.646652
610	565.572937	-158.889389
620	572.321533	-166.268585
630	578.921265	-173.781265
640	585.369446	-181.424423
650	591.663452	-189.195023
660	597.800781	-197.08992
670	603.779053	-205.105988
680	609.595764	-213.240005
690	615.248657	-221.488724
700	620.735474	-229.848846
710	626.054016	-238.317032
720	631.202087	-246.889877
730	636.177734	-255.563965
740	640.978882	-264.335815
750	645.603699	-273.201935
760	650.050232	-282.158783
770	654.316772	-291.202759
780	658.40155	-300.330231
790	662.302979	-309.537598
800	666.019531	-318.821136
810	669.549683	-328.177124
820	672.892029	-337.601868
830	676.045166	-347.091553
840	679.007935	-356.642395
850	681.779114	-366.25058
860	684.357544	-375.912262
870	686.742249	-385.623596
880	688.932312	-395.380676
890	690.926758	-405.179596
900	692.724854	-415.016418
910	694.325867	-424.887268
920	695.729187	-434.788147
930	696.934204	-444.715118
940	697.94043	-454.664185
950	698.747498	-464.631409
960	699.355957	-474.612701
970	699.882263	-484.598846
980	700.408569	-494.584991
990	700.934875	-504.571136
1000	701.461182	-514.557251
1010	701.987488	-524.543396
1020	702.513855	-534.529541
1030	703.040161	-544.515686
1040	703.566467	-554.501831
1050	704.092773	-564.487976
1060	704.61908	-574.474121
1070	705.145386	-584.460266
1080	705.671753	-594.446411
1090	706.198059	-604.432556
1100	706.724365	-614.418701
1110	707.250671	-624.404785
1120	707.776978	-634.39093
1130	708.303284	-644.377075
1140	708.82959	-654.36322
1150	709.355957	-664.349365
1160	709.882263	-674.33551
1170	710.408569	-684.321655
1180	710.934875	-694.3078
1190	711.461182	-704.293945
1200	711.987488	-714.28009
1210	712.513855	-724.266235
1220	713.040161	-734.25238
1230	713.566467	-744.238464
1240	714.092773	-754.224609
1250	714.61908	-764.210754
1260	715.145386	-774.196899
1270	715.671753	-784.183044
1280	716.198059	-794.169189
1290	716.724365	-804.155334
1300	717.250671	-814.141479
1310	717.776978	-824.127625
1320	718.303284	-834.11377
1330	718.82959	-844.099915
1340	719.355957	-854.08606
1350	719.882263	-864.072144
1360	720.408569	-874.058289
1370	720.934875	-884.044434
1380	721.461182	-894.030579
1390	721.987488	-904.016724
1400	722.513855	-914.002869
1410	723.040161	-923.989014
1420	723.566467	-933.975159
1430	724.092773	-943.961304
1440	724.61908	-953.947449
1450	725.145386	-963.933594
1460	725.671753	-973.919739
1470	726.198059	-983.905823
1480	726.724365	-993.891968
1490	727.250671	-1003.87811
1500	727.776978	-1013.86426
1510	728.303284	-1023.8504
1520	728.82959	-1033.83655
1530	729.355957	-1043.82263
1540	729.882263	-1053.80884
1550	730.408569	-1063.79492
1560	730.934875	-1073.78113
1570	731.461182	-1083.76721
1580	731.987488	-1093.75342
1590	732.513855	-1103.7395
1600	733.040161	-1113.72571
1610	733.566467	-1123.71179
1620	734.092773	-1133.698
1630	734.61908	-1143.68408
1640	735.145386	-1153.67029
1650	735.671753	-1163.65637
1660	736.198059	-1173.64246
1670	736.724365	-1183.62866
1680	737.250671	-1193.61475
1690	737.776978	-1203.60095
1700	738.303284	-1213.58704
1710	738.82959	-1223.57324
1720	739.355957	-1233.55933
1730	739.882263	-1243.54553
1740	740.408569	-1253.53162
1750	740.934875	-1263.51782
1760	741.461182	-1273.50391
1770	741.987488	-1283.48999
1780	742.513855	-1293.4762
1790	743.040161	-1303.46228
1800	743.566467	-1313.44849
1810	744.092773	-1323.43457
1820	744.61908	-1333.42078
1830	745.145386	-1343.40686
1840	745.671753	-1353.39307
1850	746.198059	-1363.37915
1860	746.724365	-1373.36536
1870	747.250671	-1383.35144
1880	747.776978	-1393.33765
1890	748.303284	-1403.32373
1900	748.82959	-1413.30981
1910	749.355957	-1423.29602
1920	749.882263	-1433.2821
1930	750.408569	-1443.26831
1940	750.934875	-1453.25439
1950	751.461182	-1463.2406
1960	751.987488	-1473.22668
1970	752.513855	-1483.21289
1980	753.040161	-1493.19897
1990	753.566467	-1503.18518
2000	754.092773	-1513.17126
2010	754.61908	-1523.15747
2020	755.145386	-1533.14355
2030	755.671753	-1543.12964
2040	756.198059	-1553.11584
2050	756.724365	-1563.10193
2060	757.250671	-1573.08813
2070	757.776978	-1583.07422
2080	758.303284	-1593.06042
2090	758.82959	-1603.04651
2100	759.355957	-1613.03271
2110	759.882263	-1623.0188
2120	760.408569	-1633.005
2130	760.934875	-1642.99109
2140	761.461182	-1652.97717
2150	761.987488	-1662.96338
2160	762.513855	-1672.94946
