# format	robotrace-shortcut-course-v1
# course_id	2022east
# source_file	examples/synthetic/2022east.json
# source_hash	c9727a63c89ac0b78d18820bfe0c5aa0311e859071e88dc26fabc6daa1827612
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	359.992584	-0.333209902
370	369.940796	-1.33135915
380	379.800385	-2.99001336
390	389.527618	-5.30180311
400	399.079193	-8.25645828
410	408.41275	-11.8408508
420	417.486786	-16.0390568
430	426.260986	-20.8324242
440	434.696381	-26.1996574
450	442.755463	-32.116909
460	450.402466	-38.5578957
470	457.603424	-45.4939919
480	464.326294	-52.8943901
490	470.541229	-60.7262115
500	476.220642	-68.9546509
510	481.339294	-77.5431671
520	485.87439	-86.4535904
530	489.805878	-95.6463394
540	493.11618	-105.080566
550	495.79068	-114.714363
560	497.817474	-124.504929
570	499.1875	-134.408768
580	499.894745	-144.381866
590	500	-154.380554
600	500	-164.380554
610	500	-174.380554
620	500	-184.380554
630	500	-194.380554
640	500	-204.380554
650	500	-214.380554
660	500	-224.380554
670	500	-234.380554
680	500	-244.380554
690	500	-254.380554
700	500	-264.380554
710	500	-274.380554
720	500	-284.380554
730	500	-294.380554
740	500	-304.380554
750	500	-314.380554
760	500	-324.380554
770	500	-334.380554
780	500	-344.380554
790	500	-354.380554
800	500	-364.380554
810	500	-374.380554
820	500	-384.380554
830	500	-394.380554
840	500	-404.380554
850	500	-414.380554
860	500	-424.380554
870	500	-434.380554
880	500	-444.380554
890	500	-454.380554
900	500	-464.380554
910	500	-474.380554
920	500	-484.380554
930	500	-494.380554
940	500	-504.380554
950	500	-514.380554
960	500	-524.380554
970	500	-534.380554
980	500	-544.380554
990	500	-554.380554
1000	500	-564.380554
1010	500	-574.380554
1020	500	-584.380554
1030	500	-594.380554
1040	500	-604.380554
1050	500	-614.380554
1060	500	-624.380554
1070	500	-634.380554
1080	500	-644.380554
1090	500	-654.380554
1100	500	-664.380554
1110	500	-674.380554
1120	500	-684.380554
1130	500	-694.380554
1140	500	-704.380554
1150	500	-714.380554
1160	500	-724.380554
1170	500	-734.380554
1180	500	-744.380554
1190	500	-754.380554
1200	500	-764.380554
1210	500	-774.380554
1220	500	-784.380554
1230	500	-794.380554
1240	500	-804.380554
1250	500	-814.380554
1260	500	-824.380554
1270	500	-834.380554
1280	500	-844.380554
1290	500	-854.380554
1300	500	-864.380554
1310	500	-874.380554
1320	500	-884.380554
1330	500	-894.380554
1340	500	-904.380554
1350	500	-914.380554
1360	500	-924.380554
1370	500	-934.380554
1380	500	-944.380554
1390	500	-954.380554
1400	500	-964.380554
1410	500	-974.380554
1420	500	-984.380554
1430	500	-994.380554
1440	500	-1004.38055
1450	500	-1014.38055
1460	500	-1024.38049
1470	500	-1034.38049
1480	500	-1044.38049
1490	500	-1054.38049
1500	500	-1064.38049
1510	500	-1074.38049
1520	500	-1084.38049
1530	500	-1094.38049
1540	500	-1104.38049
1550	500	-1114.38049
1560	500	-1124.38049
1570	500	-1134.38049
1580	500	-1144.38049
1590	500	-1154.38049
1600	500	-1164.38049
1610	500	-1174.38049
1620	500	-1184.38049
1630	500	-1194.38049
1640	500	-1204.38049
1650	500	-1214.38049
1660	500	-1224.38049
1670	500	-1234.38049
1680	500	-1244.38049
1690	500	-1254.38049
1700	500	-1264.38049
1710	500	-1274.38049
1720	500	-1284.38049
1730	500	-1294.38049
1740	500	-1304.38049
1750	500	-1314.38049
1760	500	-1324.38049
1770	500	-1334.38049
1780	500	-1344.38049
1790	500	-1354.38049
1800	500	-1364.38049
1810	500	-1374.38049
1820	500	-1384.38049
1830	500	-1394.38049
1840	500	-1404.38049
1850	500	-1414.38049
1860	500	-1424.38049
1870	500	-1434.38049
1880	500	-1444.38049
1890	500	-1454.38049
1900	500	-1464.38049
1910	500	-1474.38049
1920	500	-1484.38049
1930	500	-1494.38049
1940	500	-1504.38049
1950	500	-1514.38049
1960	500	-1524.38049
1970	500	-1534.38049
1980	500	-1544.38049
1990	500	-1554.38049
2000	500	-1564.38049
2010	500	-1574.38049
2020	500	-1584.38049
2030	500	-1594.38049
2040	500	-1604.38049
2050	500	-1614.38049
2060	500	-1624.38049
2070	500	-1634.38049
2080	500	-1644.38049
2090	500	-1654.38049
2100	500	-1664.38049
2110	500	-1674.38049
2120	500	-1684.38049
2130	500	-1694.38049
2140	500	-1704.38049
2150	500	-1714.38049
2160	500	-1724.38049
2170	500	-1734.38049
2180	500	-1744.38049
2190	500	-1754.38049
2200	500	-1764.38049
2210	500	-1774.38049
2220	500	-1784.38049
2230	500	-1794.38049
2240	500	-1804.38049
2250	500	-1814.38049
2260	500	-1824.38049
2270	500	-1834.38049
2280	500	-1844.38049
2290	500	-1854.38049
2300	500	-1864.38049
2310	500	-1874.38049
2320	500	-1884.38049
2330	500	-1894.38049
2340	500	-1904.38049
2350	500	-1914.38049
2360	500	-1924.38049
2370	500	-1934.38049
2380	500	-1944.38049
2390	500	-1954.38049
2400	500	-1964.38049
2410	500	-1974.38049
2420	500	-1984.38049
2430	500	-1994.38049
2440	500	-2004.38049
2450	500	-2014.38049
2460	500	-2024.38049
2470	500	-2034.38049
2480	500	-2044.38049
2490	500	-2054.38062
2500	500	-2064.38062
2510	500	-2074.38062
2520	500	-2084.38062
2530	500	-2094.38062
2540	500	-2104.38062
2550	500	-2114.38062
2560	500	-2124.38062
2570	500	-2134.38062
2580	500	-2144.38062
2590	500	-2154.38062
2600	500	-2164.38062
2610	500	-2174.38062
2620	500	-2184.38062
2630	500	-2194.38062
2640	500	-2204.38062
2650	500	-2214.38062
2660	500	-2224.38062
