# format	robotrace-shortcut-course-v1
# course_id	2022student
# source_file	examples/synthetic/2022student.json
# source_hash	baaead7a84942a63ae1468f45cc1c886f789695700c065a10c4c8629a52a7391
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	0
630	630	0
640	640	0
650	650	0
660	660	0
670	670	0
680	680	0
690	690	0
700	700	0
710	710	0
720	720	0
730	730	0
740	740	0
750	750	0
760	760	0
770	770	0
780	780	0
790	790	0
800	800	0
810	810	0
820	820	0
830	830	0
840	840	0
850	850	0
860	860	0
870	870	0
880	880	0
890	890	0
900	900	0
910	910	0
920	920	0
930	930	0
940	940	0
950	950	0
960	960	0
970	970	0
980	980	0
990	990	0
1000	1000	0
1010	1010	0
1020	1020	0
1030	1030	0
1040	1040	0
1050	1050	0
1060	1060	0
1070	1070	0
1080	1080	0
1090	1090	0
1100	1100	0
1110	1110	0
1120	1120	0
1130	1130	0
1140	1140	0
1150	1150	0
1160	1160	0
1170	1170	0
1180	1180	0
1190	1190	0
1200	1200	0
1210	1210	0
1220	1220	0
1230	1230	0
1240	1240	0
1250	1250	0
1260	1260	0
1270	1270	0
1280	1280	0
1290	1290	0
1300	1300	0
1310	1310	0
1320	1320	0
1330	1330	0
1340	1340	0
1350	1350	0
1360	1360	0
1370	1370	0
1380	1380	0
1390	1390	0
1400	1400	0
1410	1410	0
1420	1420	0
1430	1430	0
1440	1440	0
1450	1450	0
1460	1460	0
1470	1470	0
1480	1480	0
1490	1490	0
1500	1500	0
1510	1510	0
1520	1520	0
1530	1530	0
1540	1540	0
1550	1550	0
1560	1560	0
1570	1570	0
1580	1580	0
1590	1590	0
1600	1600	0
1610	1610	0
1620	1620	0
1630	1630	0
1640	1640	0
1650	1650	0
1660	1660	0
1670	1670	0
1680	1680	0
1690	1690	0
1700	1700	0
1710	1710	0
1720	1720	0
1730	1730	0
1740	1740	0
1750	1750	0
1760	1760	0
1770	1770	0
1780	1780	0
1790	1790	0
1800	1800	0
1810	1810	0
1820	1820	0
1830	1830	0
1840	1840	0
1850	1850	0
1860	1860	0
1870	1870	0
1880	1880	0
1890	1890	0
1900	1900	0
1910	1910	0
1920	1920	0
1930	1930	0
1940	1940	0
1950	1950	0
1960	1960	0
1970	1970	0
1980	1980	0
1990	1990	0
2000	2000	0
2010	2010	0
2020	2020	0
2030	2030	0
2040	2040	0
2050	2050	0
2060	2060	0
2070	2070	0
2080	2080	0
2090	2090	0
2100	2100	0
2110	2109.99268	-0.333209902
2120	2119.94067	-1.33135915
2130	2129.80029	-2.99001336
2140	2139.52759	-5.30180311
2150	2149.0791	-8.25645828
2160	2158.41284	-11.8408508
2170	2167.48682	-16.0390568
2180	2176.26099	-20.8324242
2190	2184.69629	-26.1996574
2200	2192.75537	-32.116909
2210	2200.40259	-38.5578957
2220	2207.60352	-45.4939919
2230	2214.32617	-52.8943901
2240	2220.54126	-60.7262115
2250	2226.2207	-68.9546509
2260	2231.33936	-77.5431671
2270	2235.87451	-86.4535904
2280	2239.80591	-95.6463394
2290	2243.11621	-105.080566
2300	2245.79077	-114.714363
2310	2247.81738	-124.504929
2320	2249.1875	-134.408768
2330	2249.89478	-144.381866
2340	2249.93604	-154.379929
2350	2249.31128	-164.358536
2360	2248.02295	-174.273346
2370	2246.07715	-184.080307
2380	2243.48242	-193.73587
2390	2240.25	-203.197128
2400	2236.39453	-212.422028
2410	2231.93335	-221.369598
2420	2226.88574	-230.000092
2430	2221.27441	-238.275162
2440	2215.12451	-246.158051
2450	2208.46289	-253.613724
2460	2201.31958	-260.60907
2470	2193.72583	-267.112976
2480	2185.71606	-273.096588
2490	2177.3252	-278.533325
2500	2168.59082	-283.398987
2510	2159.55176	-287.671997
2520	2150.24829	-291.333344
2530	2140.72144	-294.366791
2540	2131.01367	-296.75885
2550	2121.16797	-298.498871
2560	2111.22827	-299.579163
2570	2101.23877	-299.994873
2580	2091.23901	-299.960754
2590	2081.23901	-299.914093
2600	2071.23926	-299.867432
2610	2061.23926	-299.82077
2620	2051.2395	-299.774109
2630	2041.2395	-299.727417
2640	2031.23962	-299.680756
2650	2021.23975	-299.634094
2660	2011.23987	-299.587433
2670	2001.23999	-299.540771
2680	1991.24011	-299.49411
2690	1981.24023	-299.447449
2700	1971.24023	-299.400787
2710	1961.24036	-299.354126
2720	1951.24048	-299.307465
2730	1941.2406	-299.260803
2740	1931.24072	-299.214142
2750	1921.24084	-299.16748
2760	1911.24097	-299.120789
2770	1901.24109	-299.074127
2780	1891.24121	-299.027466
2790	1881.24133	-298.980804
2800	1871.24133	-298.934143
2810	1861.24146	-298.887482
2820	1851.24158	-298.84082
2830	1841.2417	-298.794159
2840	1831.24182	-298.747498
2850	1821.24194	-298.700836
2860	1811.24207	-298.654175
2870	1801.24219	-298.607513
2880	1791.24231	-298.560852
2890	1781.24231	-298.51416
2900	1771.24243	-298.467499
2910	1761.24255	-298.420837
2920	1751.24268	-298.374176
2930	1741.2428	-298.327515
2940	1731.24292	-298.280853
2950	1721.24304	-298.234192
2960	1711.24316	-298.187531
2970	1701.24329	-298.140869
2980	1691.24329	-298.094208
2990	1681.24341	-298.047546
3000	1671.24353	-298.000885
3010	1661.24365	-297.954193
3020	1651.24377	-297.907532
3030	1641.2439	-297.86087
