# format	robotrace-shortcut-course-v1
# course_id	2023east
# source_file	examples/synthetic/2023east.json
# source_hash	4823755f46bd3ee93dc8332626a40b0f880dda1f8e9c1d9fede4af4e02fd9b55
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	459.995819	-0.24994792
470	469.966675	-0.999166965
480	479.887634	-2.24578452
490	489.733856	-3.98668432
500	499.480804	-6.21751547
510	509.104034	-8.93270206
520	518.57959	-12.1254578
530	527.883667	-15.7878008
540	536.993103	-19.9105797
550	545.885132	-24.4834881
560	554.537476	-29.4950962
570	562.928467	-34.9328766
580	571.037292	-40.7832413
590	578.843567	-47.0315628
600	586.327759	-53.6622276
610	593.471191	-60.6586571
620	600.256104	-68.0033722
630	606.665405	-75.678009
640	612.683105	-83.6633835
650	618.294189	-91.939537
660	623.484619	-100.485794
670	628.241455	-109.280777
680	632.552795	-118.302513
690	636.407837	-127.52845
700	639.796936	-136.935532
710	642.711609	-146.500229
720	645.144653	-156.198669
730	647.089966	-166.006577
740	648.542603	-175.899445
750	649.499023	-185.852554
760	649.956726	-195.841034
770	650	-205.840729
780	650	-215.840729
790	650	-225.840729
800	650	-235.840729
810	650	-245.840729
820	650	-255.840729
830	650	-265.840729
840	650	-275.840729
850	650	-285.840729
860	650	-295.840729
870	650	-305.840729
880	650	-315.840729
890	650	-325.840729
900	650	-335.840729
910	650	-345.840729
920	650	-355.840729
930	650	-365.840729
940	650	-375.840729
950	650	-385.840729
960	650	-395.840729
970	650	-405.840729
980	650	-415.840729
990	650	-425.840729
1000	650	-435.840729
1010	650	-445.840729
1020	650	-455.840729
1030	650	-465.840729
1040	650	-475.840729
1050	650	-485.840729
1060	650	-495.840729
1070	650	-505.840729
1080	650	-515.840759
1090	650	-525.840759
1100	650	-535.840759
1110	650	-545.840759
1120	650	-555.840759
1130	650	-565.840759
1140	650	-575.840759
1150	650	-585.840759
1160	650	-595.840759
1170	650	-605.840759
1180	650	-615.840759
1190	650	-625.840759
1200	650	-635.840759
1210	650	-645.840759
1220	650	-655.840759
1230	650	-665.840759
1240	650	-675.840759
1250	650	-685.840759
1260	650	-695.840759
1270	650	-705.840759
1280	650	-715.840759
1290	650	-725.840759
1300	650	-735.840759
1310	650	-745.840759
1320	650	-755.840759
1330	650	-765.840759
1340	650	-775.840759
1350	650	-785.840759
1360	650	-795.840759
1370	650	-805.840759
1380	650	-815.840759
1390	650	-825.840759
1400	650	-835.840759
1410	650	-845.840759
1420	650	-855.840759
1430	650	-865.840759
1440	650	-875.840759
1450	650	-885.840759
1460	650	-895.840759
1470	650	-905.840759
1480	650	-915.840759
1490	650	-925.840759
1500	650	-935.840759
1510	650	-945.840759
1520	650	-955.840759
1530	650	-965.840759
1540	650	-975.840759
1550	650	-985.840759
1560	650	-995.840759
1570	650	-1005.84076
1580	650	-1015.84076
1590	650	-1025.8407
1600	650	-1035.8407
1610	650	-1045.8407
1620	650	-1055.8407
1630	650	-1065.8407
1640	650	-1075.8407
1650	650	-1085.8407
1660	650	-1095.8407
1670	650	-1105.8407
1680	650	-1115.8407
1690	650	-1125.8407
1700	650	-1135.8407
1710	650	-1145.8407
1720	650	-1155.8407
1730	650	-1165.8407
1740	650	-1175.8407
1750	650	-1185.8407
1760	650	-1195.8407
1770	650	-1205.8407
1780	650	-1215.8407
1790	650	-1225.8407
1800	650	-1235.8407
1810	650	-1245.8407
1820	650	-1255.8407
1830	650	-1265.8407
1840	650	-1275.8407
1850	650	-1285.8407
1860	650	-1295.8407
1870	650	-1305.8407
1880	650	-1315.8407
1890	650	-1325.8407
1900	650	-1335.8407
1910	650	-1345.8407
1920	650	-1355.8407
1930	650	-1365.8407
1940	650	-1375.8407
1950	650	-1385.8407
1960	650	-1395.8407
1970	650	-1405.8407
1980	650	-1415.8407
1990	650	-1425.8407
2000	650	-1435.8407
2010	650	-1445.8407
2020	650	-1455.8407
2030	650	-1465.8407
2040	650	-1475.8407
2050	650	-1485.8407
2060	650	-1495.8407
2070	650	-1505.8407
2080	650	-1515.8407
2090	650	-1525.8407
2100	650	-1535.8407
2110	650	-1545.8407
2120	650	-1555.8407
2130	650	-1565.8407
2140	650	-1575.8407
2150	650	-1585.8407
2160	650	-1595.8407
2170	650	-1605.8407
2180	650	-1615.8407
2190	650	-1625.8407
2200	650	-1635.8407
2210	650	-1645.8407
2220	650	-1655.8407
2230	650	-1665.8407
2240	650	-1675.8407
2250	650	-1685.8407
2260	650	-1695.8407
2270	650	-1705.8407
2280	650	-1715.8407
2290	650	-1725.8407
2300	650	-1735.8407
2310	650	-1745.8407
2320	650	-1755.8407
2330	650	-1765.8407
2340	650	-1775.8407
2350	650	-1785.8407
2360	650	-1795.8407
2370	650	-1805.8407
2380	650	-1815.8407
2390	650	-1825.8407
2400	650	-1835.8407
2410	650	-1845.8407
2420	650	-1855.8407
2430	650	-1865.8407
2440	650	-1875.8407
2450	650	-1885.8407
2460	650	-1895.8407
2470	650	-1905.8407
2480	650	-1915.8407
2490	650	-1925.8407
2500	650	-1935.8407
2510	650	-1945.8407
2520	650	-1955.8407
2530	650	-1965.8407
2540	650	-1975.8407
2550	650	-1985.8407
2560	650	-1995.8407
2570	650	-2005.8407
2580	650	-2015.8407
2590	650	-2025.8407
2600	650	-2035.8407
2610	650	-2045.8407
2620	650	-2055.84082
2630	650	-2065.84082
2640	650	-2075.84082
2650	650	-2085.84082
2660	650	-2095.84082
2670	650	-2105.84082
2680	650	-2115.84082
