# format	robotrace-shortcut-course-v1
# course_id	2023student
# source_file	examples/synthetic/2023student.json
# source_hash	01aeef29cb290741d92cb239862cba008566172e718e9cb0bf3e523418c582c3
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	159.999329	0.0999966636
170	169.994675	0.39994666
180	179.98201	0.899730027
190	189.957352	1.59914684
200	199.916702	2.49791741
210	209.85611	3.59568214
220	219.771561	4.89200211
230	229.659103	6.38635826
240	239.514786	8.07815361
250	249.334671	9.96671104
260	259.114807	12.0512753
270	268.851318	14.3310127
280	278.540283	16.8050117
290	288.177826	19.4722805
300	297.760101	22.3317547
310	307.283295	25.3822918
320	316.743561	28.6226673
330	326.137115	32.05159
340	335.460236	35.6676826
350	344.709167	39.4695015
360	353.880219	43.4555283
370	362.969727	47.6241684
380	371.97406	51.9737511
390	380.889587	56.5025368
400	389.712769	61.2087173
410	398.440063	66.0904083
420	407.067993	71.1456604
430	415.593109	76.3724442
440	424.011963	81.7686768
450	432.321228	87.3321915
460	440.517578	93.0607681
470	448.597717	98.9521179
480	456.558441	105.003883
490	464.396515	111.213638
500	472.108856	117.578903
510	479.692322	124.097137
520	487.143951	130.765717
530	494.460724	137.582001
540	501.639709	144.543228
550	508.67804	151.646652
560	515.572937	158.889389
570	522.321533	166.268585
580	528.921265	173.781265
590	535.369446	181.424423
600	541.663452	189.195023
610	547.800781	197.08992
620	553.779053	205.105988
630	559.595764	213.240005
640	565.248657	221.488724
650	570.735474	229.848846
660	576.054016	238.317032
670	581.202087	246.889877
680	586.177734	255.563965
690	590.978882	264.335815
700	595.603699	273.201935
710	600.050232	282.158783
720	604.316772	291.202759
730	608.40155	300.330231
740	612.302979	309.537598
750	616.019531	318.821136
760	619.549683	328.177124
770	622.892029	337.601868
780	626.045166	347.091553
790	629.007935	356.642395
800	631.779114	366.25058
810	634.357544	375.912262
820	636.742249	385.623596
830	638.932312	395.380676
840	640.926758	405.179596
850	642.724854	415.016418
860	644.325867	424.887268
870	645.729187	434.788147
880	646.934204	444.715118
890	647.94043	454.664185
900	648.747498	464.631409
910	649.355042	474.612762
920	649.762939	484.604279
930	649.970886	494.601929
940	650	504.601837
950	650	514.601807
960	650	524.601807
970	650	534.601807
980	650	544.601807
990	650	554.601807
1000	650	564.601807
1010	650	574.601807
1020	650	584.601807
1030	650	594.601807
1040	650	604.601807
1050	650	614.601807
1060	650	624.601807
1070	650	634.601807
1080	650	644.601807
1090	650	654.601807
1100	650	664.601807
1110	650	674.601807
1120	650	684.601807
1130	650	694.601807
1140	650	704.601807
1150	650	714.601807
1160	650	724.601807
1170	650	734.601807
1180	650	744.601807
1190	650	754.601807
1200	650	764.601807
1210	650	774.601807
1220	650	784.601807
1230	650	794.601807
1240	650	804.601807
1250	650	814.601807
1260	650	824.601807
1270	650	834.601807
1280	650	844.601807
1290	650	854.601807
1300	650	864.601807
1310	650	874.601807
1320	650	884.601807
1330	650	894.601807
1340	650	904.601807
1350	650	914.601807
1360	650	924.601807
1370	650	934.601807
1380	650	944.601807
1390	650	954.601807
1400	650	964.601807
1410	650	974.601807
1420	650	984.601807
1430	650	994.601807
1440	650	1004.60181
1450	650	1014.60181
1460	650	1024.60181
1470	650	1034.60181
1480	650	1044.60181
1490	650	1054.60181
1500	650	1064.60181
1510	650	1074.60181
1520	650	1084.60181
1530	650	1094.60181
1540	650	1104.60181
1550	650	1114.60181
1560	650	1124.60181
1570	650	1134.60181
1580	650	1144.60181
1590	650	1154.60181
1600	650	1164.60181
1610	650	1174.60181
1620	650	1184.60181
1630	650	1194.60181
1640	650	1204.60181
1650	650	1214.60181
1660	650	1224.60181
1670	650	1234.60181
1680	650	1244.60181
1690	650	1254.60181
1700	650	1264.60181
1710	650	1274.60181
1720	650	1284.60181
1730	650	1294.60181
1740	650	1304.60181
1750	650	1314.60181
1760	650	1324.60181
1770	650	1334.60181
1780	650	1344.60181
1790	650	1354.60181
1800	650	1364.60181
1810	650	1374.60181
1820	650	1384.60181
1830	650	1394.60181
1840	650	1404.60181
1850	650	1414.60181
1860	650	1424.60181
1870	650	1434.60181
1880	650	1444.60181
1890	650	1454.60181
1900	650	1464.60181
1910	650	1474.60181
1920	650	1484.60181
1930	650	1494.60181
1940	650	1504.60181
1950	650	1514.60181
1960	650	1524.60181
1970	650	1534.60181
1980	650	1544.60181
1990	650	1554.60181
2000	650	1564.60181
2010	650	1574.60181
2020	650	1584.60181
2030	650	1594.60181
2040	650	1604.60181
2050	650	1614.60181
2060	650	1624.60181
2070	650	1634.60181
2080	650	1644.60181
2090	650	1654.60181
2100	650	1664.60181
2110	650	1674.60181
2120	650	1684.60181
2130	650	1694.60181
2140	650	1704.60181
2150	650	1714.60181
2160	650	1724.60181
2170	650	1734.60181
2180	650	1744.60181
2190	650	1754.60181
2200	650	1764.60181
2210	650	1774.60181
2220	650	1784.60181
2230	650	1794.60181
2240	650	1804.60181
2250	650	1814.60181
2260	650	1824.60181
2270	650	1834.60181
2280	650	1844.60181
2290	650	1854.60181
2300	650	1864.60181
2310	650	1874.60181
2320	650	1884.60181
2330	650	1894.60181
2340	650	1904.60181
2350	650	1914.60181
2360	650	1924.60181
2370	650	1934.60181
2380	650	1944.60181
2390	650	1954.60181
2400	650	1964.60181
2410	650	1974.60181
2420	650	1984.60181
2430	650	1994.60181
2440	650	2004.60181
2450	650	2014.60181
2460	650	2024.60181
2470	650	2034.60181
2480	650	2044.60181
2490	650	2054.60181
2500	650	2064.60181
2510	650	2074.60181
2520	650	2084.60181
2530	650	2094.60181
2540	650	2104.60181
2550	650	2114.60181
2560	650	2124.60181
2570	650	2134.60181
2580	650	2144.60181
2590	650	2154.60181
2600	650	2164.60181
2610	650	2174.60181
2620	650	2184.60181
2630	650	2194.60181
2640	650	2204.60181
2650	650	2214.60181
2660	650	2224.60181
