# format	robotrace-shortcut-course-v1
# course_id	2024east
# source_file	examples/synthetic/2024east.json
# source_hash	2ca8016c0a719acec0d726bf4a5444f35b0a2cb81ae53f66dd96b790ea011a4d
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	610	0
620	620	-0.00463977689
630	629.99707	-0.226894319
640	639.98114	-0.782199264
650	649.941223	-1.66993761
660	659.86615	-2.8891232
670	669.744934	-4.43840122
680	679.566589	-6.31605101
690	689.320251	-8.51998615
700	698.994995	-11.0477571
710	708.580139	-13.8965569
720	718.065063	-17.063221
730	727.439148	-20.5442276
740	736.691956	-24.3357143
750	745.813354	-28.433466
760	754.793091	-32.8329277
770	763.621155	-37.5292168
780	772.287903	-42.5171127
790	780.783508	-47.7910767
800	789.164124	-53.2466049
810	797.693298	-58.4661407
820	806.391724	-63.3985176
830	815.249695	-68.0382614
840	824.257385	-72.3802261
850	833.404724	-76.4195709
860	842.681641	-80.1518173
870	852.077759	-83.5728149
880	861.582703	-86.678772
890	871.185913	-89.4662247
900	880.876648	-91.9320831
910	890.644165	-94.0736084
920	900.4776	-95.8884201
930	910.366089	-97.3745041
940	920.298645	-98.5302048
950	930.26416	-99.3542404
960	940.251648	-99.8456955
970	950.249878	-100.004028
980	960.247925	-99.8290558
990	970.234558	-99.3209763
1000	980.198669	-98.4803467
1010	990.129272	-97.3081131
1020	1000.01526	-95.8055725
1030	1009.8457	-93.9743958
1040	1019.60968	-91.8166122
1050	1029.29626	-89.3346252
1060	1038.89478	-86.531189
1070	1048.39453	-83.4094162
1080	1057.78503	-79.9727859
1090	1067.05566	-76.2250977
1100	1076.19629	-72.1705322
1110	1085.19678	-67.8135834
1120	1094.047	-63.1590996
1130	1102.73718	-58.2122459
1140	1111.25769	-52.9785233
1150	1119.599	-47.4637413
1160	1127.75183	-41.6740341
1170	1135.70728	-35.6158257
1180	1143.45642	-29.2958527
1190	1150.9906	-22.7211323
1200	1158.30151	-15.8989735
1210	1165.38098	-8.83695316
1220	1172.22107	-1.54291809
1230	1178.81433	5.97502851
1240	1185.15344	13.7085333
1250	1191.2312	21.6490059
1260	1197.04102	29.7876225
1270	1202.57629	38.1153412
1280	1207.83105	46.6229134
1290	1212.79932	55.3008804
1300	1217.47559	64.1396103
1310	1221.85474	73.1292725
1320	1225.93176	82.2598877
1330	1229.70227	91.5213013
1340	1233.16211	100.903236
1350	1236.30725	110.395264
1360	1239.1344	119.986839
1370	1241.64026	129.667313
1380	1243.82202	139.425903
1390	1245.67749	149.251801
1400	1247.20435	159.134079
1410	1248.40112	169.061752
1420	1249.26624	179.023788
1430	1249.79895	189.009125
1440	1249.99854	199.006668
1450	1250.00024	209.006668
1460	1250.00024	219.006668
1470	1250.00024	229.006668
1480	1250.00024	239.006668
1490	1250.00024	249.006668
1500	1250.00024	259.006653
1510	1250.00024	269.006653
1520	1250.00024	279.006653
1530	1250.00037	289.006653
1540	1250.00037	299.006653
1550	1250.00037	309.006653
1560	1250.00037	319.006653
1570	1250.00037	329.006653
1580	1250.00037	339.006653
1590	1250.00037	349.006653
1600	1250.00037	359.006653
1610	1250.00037	369.006653
1620	1250.00037	379.006653
1630	1250.00037	389.006653
1640	1250.00037	399.006653
1650	1249.91919	409.006165
1660	1249.63904	419.002075
1670	1249.15906	428.990387
1680	1248.47937	438.967102
1690	1247.60034	448.928223
1700	1246.52222	458.869751
1710	1245.24548	468.78775
1720	1243.77075	478.678253
1730	1242.09839	488.537262
1740	1240.22937	498.36087
1750	1238.16406	508.145111
1760	1235.90369	517.886108
1770	1233.44885	527.579956
1780	1230.80066	537.222778
1790	1227.96008	546.810669
1800	1225.01318	556.366516
1810	1222.23657	565.973145
1820	1219.65271	575.633362
1830	1217.26245	585.343323
1840	1215.06689	595.099182
1850	1213.06689	604.896973
1860	1211.26318	614.732788
1870	1209.65662	624.602722
1880	1208.2478	634.502808
1890	1207.03711	644.429077
1900	1206.02527	654.377563
1910	1205.21252	664.34436
1920	1204.59937	674.325378
1930	1204.18579	684.31665
1940	1203.97217	694.314209
1950	1203.95862	704.314026
1960	1204.14502	714.312073
1970	1204.53125	724.304443
1980	1205.11731	734.287109
1990	1205.90283	744.256042
2000	1206.88757	754.207275
2010	1208.07117	764.136841
2020	1209.45312	774.04071
2030	1211.03284	783.914978
2040	1212.80969	793.755676
2050	1214.78296	803.558899
2060	1216.9519	813.320618
2070	1219.31567	823.037109
2080	1221.87329	832.704346
2090	1224.62378	842.318481
2100	1227.55847	851.878052
2110	1230.42505	861.458191
2120	1233.09961	871.093689
2130	1235.58081	880.780823
2140	1237.86792	890.515625
2150	1239.95972	900.294189
2160	1241.85571	910.112671
2170	1243.55493	919.967041
2180	1245.05664	929.853455
2190	1246.36035	939.767944
2200	1247.46558	949.706543
2210	1248.37183	959.665222
2220	1249.07874	969.640015
2230	1249.58594	979.627014
2240	1249.89343	989.62207
2250	1250.00098	999.621338
2260	1250.0011	1009.62134
2270	1250.0011	1019.62134
2280	1250.0011	1029.62134
2290	1250.0011	1039.62134
2300	1250.0011	1049.62134
2310	1250.0011	1059.62134
2320	1250.0011	1069.62134
2330	1250.0011	1079.62134
2340	1250.00122	1089.62134
2350	1250.00122	1099.62134
2360	1250.09387	1109.62073
2370	1250.38635	1119.61633
