# format	robotrace-shortcut-course-v1
# course_id	2024kansai
# source_file	examples/synthetic/2024kansai.json
# source_hash	db11882926e1d6c9bd5ebb20117475eb6521ff56cbc145bb45941136ab016c25
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	159.995834	-0.24994792
170	169.96669	-0.999166965
180	179.887619	-2.24578452
190	189.733871	-3.98668432
200	199.480789	-6.21751547
210	209.104034	-8.93270206
220	218.579559	-12.1254578
230	227.883667	-15.7878008
240	236.993103	-19.9105797
250	245.885101	-24.4834881
260	254.537445	-29.4950962
270	262.928497	-34.9328766
280	271.037292	-40.7832413
290	278.843536	-47.0315628
300	286.327759	-53.6622276
310	293.471222	-60.6586571
320	300.256073	-68.0033722
330	306.665375	-75.678009
340	312.683105	-83.6633835
350	318.294189	-91.939537
360	323.48465	-100.485794
370	328.241486	-109.280777
380	332.552795	-118.302513
390	336.407806	-127.52845
400	339.796936	-136.935532
410	342.711639	-146.500229
420	345.144684	-156.198669
430	347.089935	-166.006577
440	348.542603	-175.899445
450	349.498993	-185.852554
460	349.956757	-195.841034
470	349.914734	-205.839905
480	349.373016	-215.824173
490	348.332977	-225.768906
500	346.79718	-235.649216
510	344.769531	-245.440414
520	342.255035	-255.118042
530	339.26001	-264.657928
540	335.791931	-274.036163
550	331.859497	-283.22937
560	327.472473	-292.214539
570	322.641876	-300.969208
580	317.379761	-309.471527
590	311.69928	-317.700226
600	305.614655	-325.634735
610	299.141052	-333.255219
620	292.294678	-340.542603
630	285.092651	-347.478729
640	277.552948	-354.046265
650	269.694427	-360.228729
660	261.536743	-366.010712
670	253.100281	-371.377747
680	244.406113	-376.316437
690	235.475983	-380.814423
700	226.332199	-384.860474
710	216.997635	-388.444458
720	207.495605	-391.557434
730	197.849869	-394.19162
740	188.084534	-396.340454
750	178.223999	-397.998505
760	168.292923	-399.161652
770	158.316132	-399.827026
780	148.318558	-400.00708
790	138.325165	-400.341034
800	128.360977	-401.174072
810	118.450859	-402.504059
820	108.619606	-404.327667
830	98.891777	-406.64035
840	89.2916946	-409.436371
850	79.8433533	-412.708649
860	70.5703659	-416.449097
870	61.4959106	-420.648315
880	52.6426697	-425.295807
890	44.0327721	-430.380005
900	35.6877365	-435.888123
910	27.6284218	-441.806458
920	19.8749733	-448.120178
930	12.4467678	-454.813538
940	5.36237526	-461.869781
950	-1.36049902	-469.271271
960	-7.70505095	-476.999512
970	-13.6554222	-485.035217
980	-19.1967411	-493.358246
990	-24.315155	-501.947845
1000	-28.9978714	-510.782501
1010	-33.2331886	-519.840149
1020	-37.0105171	-529.098206
1030	-40.3204155	-538.533447
1040	-43.1546135	-548.122314
1050	-45.5060234	-557.84082
1060	-47.3687706	-567.664734
1070	-48.7382011	-577.569519
1080	-49.6108894	-587.530273
1090	-49.9846497	-597.522278
1100	-50	-607.522217
1110	-50	-617.522217
1120	-50	-627.522217
1130	-50	-637.522217
1140	-50	-647.522217
1150	-50	-657.522217
1160	-50	-667.522217
1170	-50	-677.522217
1180	-50	-687.522217
1190	-50	-697.522217
1200	-50	-707.522217
1210	-50	-717.522217
1220	-50	-727.522217
1230	-50	-737.522217
1240	-50	-747.522217
1250	-50	-757.522217
1260	-50	-767.522217
1270	-50	-777.522217
1280	-50	-787.522217
1290	-50	-797.522217
1300	-50	-807.522217
1310	-50	-817.522217
1320	-50	-827.522217
1330	-50	-837.522217
1340	-50	-847.522217
1350	-50	-857.522217
1360	-50	-867.522217
1370	-50	-877.522217
1380	-50	-887.522217
1390	-50	-897.522217
1400	-50	-907.522217
1410	-50	-917.522217
1420	-50	-927.522217
1430	-50	-937.522217
1440	-50	-947.522217
1450	-50	-957.522217
1460	-50	-967.522217
1470	-50	-977.522217
1480	-50	-987.522217
1490	-50	-997.522217
1500	-49.8585587	-1007.52045
1510	-49.2329216	-1017.49982
1520	-48.1093063	-1027.43542
1530	-46.4905243	-1037.30249
1540	-44.3806152	-1047.07629
1550	-41.7848549	-1056.73242
1560	-38.7097321	-1066.24683
1570	-35.1629372	-1075.59558
1580	-31.1533279	-1084.75537
1590	-26.6909313	-1093.70337
1600	-21.7868996	-1102.41711
1610	-16.4534893	-1110.87488
1620	-10.704031	-1119.05554
1630	-4.55289745	-1126.9386
1640	1.98453796	-1134.50439
1650	8.89193535	-1141.73401
1660	16.152029	-1148.60925
1670	23.7466717	-1155.11316
1680	31.6568832	-1161.22937
1690	39.8628922	-1166.9425
1700	48.3441849	-1172.23853
1710	57.0795631	-1177.10388
1720	66.0471954	-1181.52661
1730	75.2246704	-1185.49573
1740	84.589035	-1189.0011
1750	94.1168976	-1192.03406
1760	103.784439	-1194.58704
1770	113.567497	-1196.65369
1780	123.44162	-1198.22876
1790	133.382126	-1199.30847
1800	143.364151	-1199.88989
1810	153.362778	-1199.97168
1820	163.352997	-1199.55371
1830	173.309845	-1198.63696
1840	183.20842	-1197.22375
1850	193.024002	-1195.3175
1860	202.73204	-1192.9231
1870	212.308273	-1190.04651
1880	221.728775	-1186.69495
1890	230.969986	-1182.87659
1900	240.00882	-1178.60132
1910	248.822678	-1173.87952
1920	257.389526	-1168.72314
1930	265.687958	-1163.14502
1940	273.697235	-1157.15918
1950	281.397308	-1150.7804
1960	288.768982	-1144.0249
1970	295.793823	-1136.9093
1980	302.454224	-1129.45154
1990	308.733582	-1121.67029
2000	314.61618	-1113.58484
2010	320.087311	-1105.21545
2020	325.133331	-1096.58313
2030	329.741608	-1087.70947
2040	333.900635	-1078.61646
2050	337.600006	-1069.32703
2060	340.830444	-1059.86438
2070	343.583923	-1050.25195
2080	345.853546	-1040.51404
2090	347.633636	-1030.6748
2100	348.919769	-1020.75885
2110	349.708679	-1010.79108
2120	349.998413	-1000.79633
2130	349.788269	-990.799561
2140	349.078766	-980.825806
2150	347.871643	-970.899963
2160	346.169952	-961.046875
