# format	robotrace-shortcut-course-v1
# course_id	2024student
# source_file	examples/synthetic/2024student.json
# source_hash	478d1dcb873740f2cff34684352813b777828b88fdaaf60c375a193c707d8498
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	160	0
170	170	0
180	180	0
190	190	0
200	200	0
210	210	0
220	220	0
230	230	0
240	240	0
250	250	0
260	260	0
270	270	0
280	280	0
290	290	0
300	300	0
310	310	0
320	320	0
330	330	0
340	340	0
350	350	0
360	360	0
370	370	0
380	380	0
390	390	0
400	400	0
410	410	0
420	420	0
430	430	0
440	440	0
450	450	0
460	460	0
470	470	0
480	480	0
490	490	0
500	500	0
510	510	0
520	520	0
530	530	0
540	540	0
550	550	0
560	560	0
570	570	0
580	580	0
590	590	0
600	600	0
610	609.99585	0.24994792
620	619.966675	0.999166965
630	629.887634	2.24578452
640	639.733887	3.98668432
650	649.480774	6.21751547
660	659.104065	8.93270206
670	668.57959	12.1254578
680	677.883667	15.7878008
690	686.993103	19.9105797
700	695.885132	24.4834881
710	704.537476	29.4950962
720	712.928467	34.9328766
730	721.037292	40.7832413
740	728.843567	47.0315628
750	736.327759	53.6622276
760	743.471191	60.6586571
770	750.256104	68.0033722
780	756.665405	75.678009
790	762.683105	83.6633835
800	768.294189	91.939537
810	773.484619	100.485794
820	778.241455	109.280777
830	782.552795	118.302513
840	786.407837	127.52845
850	789.796936	136.935532
860	792.711609	146.500229
870	795.144653	156.198669
880	797.089966	166.006577
890	798.542603	175.899445
900	799.499023	185.852554
910	799.956726	195.841034
920	800	205.840729
930	800	215.840729
940	800	225.840729
950	800	235.840729
960	800	245.840729
970	800	255.840729
980	800	265.840729
990	800	275.840729
1000	800	285.840729
1010	800	295.840729
1020	800	305.840729
1030	800	315.840729
1040	800	325.840729
1050	800	335.840729
1060	800	345.840729
1070	800	355.840729
1080	800	365.840729
1090	800	375.840729
1100	800	385.840729
1110	800	395.840729
1120	800	405.840729
1130	800	415.840729
1140	800	425.840729
1150	800	435.840729
1160	800	445.840729
1170	800	455.840729
1180	800	465.840729
1190	800	475.840729
1200	800	485.840729
1210	800	495.840729
1220	800	505.840729
1230	800	515.840759
1240	800	525.840759
1250	800	535.840759
1260	800	545.840759
1270	800	555.840759
1280	800	565.840759
1290	800	575.840759
1300	800	585.840759
1310	800	595.840759
1320	800	605.840759
1330	800	615.840759
1340	800	625.840759
1350	800	635.840759
1360	800	645.840759
1370	800	655.840759
1380	800	665.840759
1390	800	675.840759
1400	800	685.840759
1410	800	695.840759
1420	800	705.840759
1430	800	715.840759
1440	800	725.840759
1450	800	735.840759
1460	800	745.840759
1470	800	755.840759
1480	800	765.840759
1490	800	775.840759
1500	800	785.840759
1510	800	795.840759
1520	800	805.840759
1530	800	815.840759
1540	800	825.840759
1550	800	835.840759
1560	800	845.840759
1570	800	855.840759
1580	800	865.840759
1590	800	875.840759
1600	800	885.840759
1610	800	895.840759
1620	800	905.840759
1630	800	915.840759
1640	800	925.840759
1650	800	935.840759
1660	800	945.840759
1670	800	955.840759
1680	800	965.840759
1690	800	975.840759
1700	800	985.840759
1710	800	995.840759
1720	800	1005.84076
1730	800	1015.84076
1740	800	1025.8407
1750	800	1035.8407
1760	800	1045.8407
1770	800	1055.8407
1780	800	1065.8407
1790	800	1075.8407
1800	800	1085.8407
1810	800	1095.8407
1820	800	1105.8407
1830	800	1115.8407
1840	800	1125.8407
1850	800	1135.8407
1860	800	1145.8407
1870	800	1155.8407
1880	800	1165.8407
1890	800	1175.8407
1900	800	1185.8407
1910	800	1195.8407
1920	800	1205.8407
1930	800	1215.8407
1940	800	1225.8407
1950	800	1235.8407
1960	800	1245.8407
1970	800	1255.8407
1980	800	1265.8407
1990	800	1275.8407
2000	800	1285.8407
2010	800	1295.8407
2020	800	1305.8407
2030	800	1315.8407
2040	800	1325.8407
2050	800	1335.8407
2060	800	1345.8407
2070	800	1355.8407
2080	800	1365.8407
2090	800	1375.8407
2100	800	1385.8407
2110	800	1395.8407
2120	800	1405.8407
2130	800	1415.8407
2140	800	1425.8407
2150	800	1435.8407
2160	800	1445.8407
2170	800	1455.8407
2180	800	1465.8407
2190	800	1475.8407
2200	800	1485.8407
2210	800	1495.8407
2220	800	1505.8407
2230	800	1515.8407
2240	800	1525.8407
2250	800	1535.8407
2260	800	1545.8407
2270	800	1555.8407
2280	800	1565.8407
2290	800	1575.8407
2300	800	1585.8407
2310	800	1595.8407
2320	800	1605.8407
2330	800	1615.8407
2340	800	1625.8407
2350	800	1635.8407
2360	800	1645.8407
2370	800	1655.8407
2380	800	1665.8407
2390	800	1675.8407
2400	799.886292	1685.83923
2410	799.164368	1695.81128
2420	797.779663	1705.71313
2430	795.738464	1715.50073
2440	793.049744	1725.13049
2450	789.725525	1734.55981
2460	785.780518	1743.74683
2470	781.232239	1752.65051
2480	776.100952	1761.23145
2490	770.409424	1769.45154
2500	764.182922	1777.27417
2510	757.449097	1784.66467
2520	750.237976	1791.59009
2530	742.581482	1798.01978
2540	734.513672	1803.92517
2550	726.070374	1809.27991
2560	717.289062	1814.0603
2570	708.208862	1818.24512
2580	698.870056	1821.8158
2590	689.314087	1824.75635
2600	679.583496	1827.05383
2610	669.721436	1828.69788
2620	659.77179	1829.6814
2630	649.778687	1829.99988
2640	639.786621	1829.65186
2650	629.839905	1828.63904
2660	619.982788	1826.96582
2670	610.258972	1824.63977
2680	600.711731	1821.67102
2690	591.383484	1818.07288
2700	582.315674	1813.86121
2710	573.548523	1809.05493
2720	565.121094	1803.67529
2730	557.07074	1797.74609
2740	549.433228	1791.29382
2750	542.242554	1784.34717
2760	535.530579	1776.93689
2770	529.327209	1769.09583
2780	523.651428	1760.86462
2790	518.16333	1752.50513
2800	512.675232	1744.14563
2810	507.187103	1735.78613
2820	501.699005	1727.42676
2830	496.210907	1719.06726
