# format	robotrace-shortcut-course-v1
# course_id	2025alljapan
# source_file	examples/synthetic/2025alljapan.json
# source_hash	e0f5f7069715a9e6ecacbf5de681a345f37b2f61ae34659f71f5425ac49bb1ab
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	109.998146	-0.166651234
120	119.985191	-0.666419804
130	129.950027	-1.49875045
140	139.881592	-2.6627183
150	149.768845	-4.15703058
160	159.6008	-5.98002672
170	169.366547	-8.12968159
180	179.055222	-10.6036062
190	188.656067	-13.3990536
200	198.158401	-16.5129166
210	207.551697	-19.9417362
220	216.8255	-23.6817017
230	225.969513	-27.7286606
240	234.973572	-32.0781136
250	243.827667	-36.7252312
260	252.521973	-41.6648483
270	261.046814	-46.8914795
280	269.392731	-52.3993149
290	277.550476	-58.1822395
300	285.510956	-64.2338181
310	293.26532	-70.5473404
320	300.804962	-77.1157913
330	308.12149	-83.9318619
340	315.206818	-90.9879837
350	322.05307	-98.276329
360	328.652588	-105.78878
370	334.998077	-113.517006
380	341.082489	-121.452423
390	346.899048	-129.586197
400	352.441284	-137.909302
410	357.703094	-146.412506
420	362.678558	-155.086334
430	367.362213	-163.921158
440	371.74881	-172.907181
450	375.833496	-182.034393
460	379.611725	-191.292679
470	383.079315	-200.671722
480	386.232391	-210.161133
490	389.067444	-219.750351
500	391.58136	-229.428726
510	393.771332	-239.185516
520	395.634918	-249.009857
530	397.170044	-258.890869
540	398.375031	-268.817535
550	399.248505	-278.778839
560	399.78949	-288.763733
570	399.997437	-298.761108
580	400	-308.761108
590	400	-318.761108
600	400	-328.761108
610	400	-338.761108
620	400	-348.761108
630	400	-358.761108
640	400	-368.761108
650	400	-378.761108
660	400	-388.761108
670	400	-398.761108
680	400	-408.761108
690	400	-418.761108
700	400	-428.761108
710	400	-438.761108
720	400	-448.761108
730	400	-458.761108
740	400	-468.761108
750	400	-478.761108
760	400	-488.761108
770	400	-498.761108
780	400	-508.761108
790	400	-518.761108
800	400	-528.761108
810	400	-538.761108
820	400	-548.761108
830	400	-558.761108
840	400	-568.761108
850	400	-578.761108
860	400	-588.761108
870	400	-598.761108
880	400	-608.761108
890	400	-618.761108
900	400	-628.761108
910	400	-638.761108
920	400	-648.761108
930	400	-658.761108
940	400	-668.761108
950	400	-678.761108
960	400	-688.761108
970	400	-698.761108
980	400	-708.761108
990	400	-718.761108
1000	400	-728.761108
1010	400	-738.761108
1020	400	-748.761108
1030	400	-758.761108
1040	400	-768.761108
1050	400	-778.761108
1060	400	-788.761108
1070	400	-798.761108
1080	400	-808.761108
1090	400	-818.761108
1100	400	-828.761108
1110	400	-838.761108
1120	400	-848.761108
1130	400	-858.761108
1140	400	-868.761108
1150	400	-878.761108
1160	400	-888.761108
1170	400	-898.761108
1180	400	-908.761108
1190	400	-918.761108
1200	400	-928.761108
1210	400	-938.761108
1220	400	-948.761108
1230	400	-958.761108
1240	400	-968.761108
1250	400	-978.761108
1260	400	-988.761108
1270	400	-998.761108
1280	400	-1008.76111
1290	400	-1018.76111
1300	400	-1028.76111
1310	400	-1038.76111
1320	400	-1048.76111
1330	400	-1058.76111
1340	400	-1068.76111
1350	400	-1078.76111
1360	400	-1088.76111
1370	400	-1098.76111
1380	400	-1108.76111
1390	400	-1118.76111
1400	400	-1128.76111
1410	400	-1138.76111
1420	400	-1148.76111
1430	400.383545	-1158.74988
1440	401.75473	-1168.65125
1450	404.107574	-1178.36621
1460	407.418518	-1187.79773
1470	411.654541	-1196.85168
1480	416.773254	-1205.43738
1490	422.723541	-1213.46924
1500	429.445953	-1220.86694
1510	436.873322	-1227.55664
1520	444.931458	-1233.47131
1530	453.539795	-1238.552
1540	462.612335	-1242.7478
1550	472.058441	-1246.01697
1560	481.783752	-1248.3269
1570	491.691071	-1249.65417
1580	501.681458	-1250
1590	511.681458	-1250
1600	521.681458	-1250
1610	531.681458	-1250
1620	541.681458	-1250
1630	551.681458	-1250
1640	561.681458	-1250
1650	571.681458	-1250
1660	581.681458	-1250
1670	591.681458	-1250
1680	601.681458	-1250.00281
1690	611.68042	-1250.13647
1700	621.674683	-1250.46997
1710	631.660278	-1251.00342
1720	641.63324	-1251.73633
1730	651.589478	-1252.66858
1740	661.525146	-1253.7998
1750	671.436157	-1255.12939
1760	681.318665	-1256.65698
1770	691.168579	-1258.38196
1780	700.982056	-1260.30359
1790	710.755127	-1262.42102
1800	720.483887	-1264.7334
1810	730.16449	-1267.23999
1820	739.79303	-1269.9397
1830	749.365662	-1272.83142
1840	758.930786	-1275.74768
1850	768.552124	-1278.4729
1860	778.225952	-1281.00525
1870	787.948547	-1283.34351
1880	797.716003	-1285.48694
1890	807.524292	-1287.43469
1900	817.369629	-1289.18579
1910	827.247986	-1290.73962
1920	837.155457	-1292.09558
1930	847.088074	-1293.2533
1940	857.04187	-1294.21204
1950	867.012817	-1294.97144
1960	876.996948	-1295.53137
1970	886.990295	-1295.89148
1980	896.988831	-1296.05176
1990	906.988586	-1296.01196
2000	916.985535	-1295.77222
2010	926.975708	-1295.33252
2020	936.955078	-1294.69324
2030	946.919678	-1293.85449
2040	956.865479	-1292.81653
2050	966.788574	-1291.57996
2060	976.684937	-1290.14526
2070	986.550659	-1288.51282
2080	996.381714	-1286.68347
2090	1006.17426	-1284.65784
2100	1015.92432	-1282.43677
2110	1025.62793	-1280.02112
2120	1035.28137	-1277.41199
2130	1044.88074	-1274.61023
2140	1054.43506	-1271.6582
2150	1064.0304	-1268.84277
2160	1073.68005	-1266.21985
2170	1083.38025	-1263.79028
2180	1093.1272	-1261.5553
2190	1102.91675	-1259.51575
2200	1112.74524	-1257.67224
2210	1122.60852	-1256.02576
2220	1132.50281	-1254.57678
2230	1142.42419	-1253.32605
2240	1152.36853	-1252.27393
2250	1162.33191	-1251.4209
2260	1172.3103	-1250.76733
2270	1182.2998	-1250.31335
2280	1192.29651	-1250.05933
