# format	robotrace-shortcut-course-v1
# course_id	2025kansai
# source_file	examples/synthetic/2025kansai.json
# source_hash	3fba41f5cb6c18c170753adaedefe5e98d896bde0f302cd02197e4860108fcf6
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
0	0	0
10	10	0
20	20	0
30	30	0
40	40	0
50	50	0
60	60	0
70	70	0
80	80	0
90	90	0
100	100	0
110	110	0
120	120	0
130	130	0
140	140	0
150	150	0
160	159.995834	-0.24994792
170	169.96669	-0.999166965
180	179.887619	-2.24578452
190	189.733871	-3.98668432
200	199.480789	-6.21751547
210	209.104034	-8.93270206
220	218.579559	-12.1254578
230	227.883667	-15.7878008
240	236.993103	-19.9105797
250	245.885101	-24.4834881
260	254.537445	-29.4950962
270	262.928497	-34.9328766
280	271.037292	-40.7832413
290	278.843536	-47.0315628
300	286.327759	-53.6622276
310	293.471222	-60.6586571
320	300.256073	-68.0033722
330	306.665375	-75.678009
340	312.683105	-83.6633835
350	318.294189	-91.939537
360	323.48465	-100.485794
370	328.241486	-109.280777
380	332.552795	-118.302513
390	336.407806	-127.52845
400	339.796936	-136.935532
410	342.711639	-146.500229
420	345.144684	-156.198669
430	347.089935	-166.006577
440	348.542603	-175.899445
450	349.498993	-185.852554
460	349.956757	-195.841034
470	349.914734	-205.839905
480	349.373016	-215.824173
490	348.332977	-225.768906
500	346.79718	-235.649216
510	344.769531	-245.440414
520	342.255035	-255.118042
530	339.26001	-264.657928
540	335.791931	-274.036163
550	331.859497	-283.22937
560	327.472473	-292.214539
570	322.641876	-300.969208
580	317.379761	-309.471527
590	311.69928	-317.700226
600	305.715698	-325.712402
610	299.715698	-333.712402
620	293.715698	-341.712402
630	287.715698	-349.712402
640	281.715698	-357.712402
650	275.715698	-365.712402
660	269.715698	-373.712402
670	263.715698	-381.712402
680	257.715698	-389.712402
690	251.715698	-397.712402
700	245.715698	-405.712402
710	239.715698	-413.712402
720	233.715698	-421.712402
730	227.715698	-429.712402
740	221.715698	-437.712402
750	215.715698	-445.712402
760	209.715698	-453.712402
770	203.715698	-461.712402
780	197.715698	-469.712402
790	191.715698	-477.712402
800	185.715698	-485.712402
810	179.715698	-493.712402
820	173.715698	-501.712402
830	167.715698	-509.712402
840	161.715698	-517.712402
850	155.715698	-525.712402
860	149.715698	-533.712402
870	143.715698	-541.712402
880	137.715698	-549.712402
890	131.715698	-557.712402
900	125.715691	-565.712402
910	119.715691	-573.712402
920	113.715691	-581.712402
930	107.715691	-589.712402
940	101.715691	-597.712402
950	95.7156906	-605.712402
960	89.7156906	-613.712402
970	83.7156906	-621.712402
980	77.7156906	-629.712402
990	71.7156906	-637.712402
1000	65.7156906	-645.712402
1010	59.7156906	-653.712402
1020	53.7156906	-661.712402
1030	47.7156906	-669.712402
1040	41.7156906	-677.712402
1050	35.7156906	-685.712402
1060	29.7156925	-693.712402
1070	23.7156925	-701.712402
1080	17.7156925	-709.712402
1090	11.7156925	-717.712402
1100	5.71569204	-725.712402
1110	-0.284307718	-733.712402
1120	-6.28430796	-741.712402
1130	-12.2843075	-749.712402
1140	-18.2843075	-757.712402
1150	-24.2843075	-765.712402
1160	-30.2843075	-773.712402
1170	-36.2843094	-781.712402
1180	-42.2843094	-789.712402
1190	-48.2843094	-797.712402
1200	-54.2843094	-805.712402
1210	-60.2843094	-813.712402
1220	-66.2843094	-821.712402
1230	-72.2843094	-829.712402
1240	-78.2843094	-837.712402
1250	-84.4186325	-845.608276
1260	-91.044548	-853.095642
1270	-98.1545334	-860.124939
1280	-105.716995	-866.664978
1290	-113.698341	-872.686707
1300	-122.06311	-878.16333
1310	-130.774139	-883.070557
1320	-139.792709	-887.386597
1330	-149.078781	-891.092285
1340	-158.59108	-894.171082
1350	-168.287354	-896.609375
1360	-178.124527	-898.396301
1370	-188.058884	-899.523926
1380	-198.04628	-899.987305
1390	-208.046234	-900
1400	-218.046234	-900
1410	-228.046234	-900
1420	-238.046234	-900
1430	-248.046234	-900
1440	-258.046234	-900
1450	-268.046234	-900
1460	-278.046234	-900
1470	-288.046234	-900
1480	-298.046234	-900
1490	-308.046234	-900
1500	-318.046234	-900
1510	-328.046234	-900
1520	-338.046234	-900
1530	-348.046234	-900
1540	-358.046234	-900
1550	-368.046234	-900
1560	-378.046234	-900
1570	-388.046234	-900
1580	-398.046234	-900
1590	-408.046234	-900
1600	-418.046234	-900
1610	-428.046234	-900
1620	-438.046234	-900
1630	-448.046234	-900
1640	-458.046234	-900
1650	-468.046234	-900
1660	-478.046234	-900
1670	-488.046234	-900
1680	-498.046234	-900
1690	-508.046234	-900
1700	-518.046204	-900
1710	-528.046204	-900
1720	-538.046204	-900
1730	-548.046204	-900
1740	-558.044067	-899.838196
1750	-568.021729	-899.186401
1760	-577.954407	-898.036743
1770	-587.8172	-896.39209
1780	-597.585449	-894.256592
1790	-607.234741	-891.635559
1800	-616.741028	-888.535522
1810	-626.080444	-884.964233
1820	-635.229736	-880.930664
1830	-644.165955	-876.444824
1840	-652.866821	-871.517944
1850	-661.310608	-866.162415
1860	-669.476196	-860.391541
1870	-677.343079	-854.219788
1880	-684.891724	-847.662537
1890	-692.10321	-840.736206
1900	-698.959473	-833.45813
1910	-705.44342	-825.846497
1920	-711.538879	-817.920288
1930	-717.23053	-809.699341
1940	-722.504272	-801.204163
1950	-727.346741	-792.456055
1960	-731.745972	-783.476868
1970	-735.690979	-774.289062
1980	-739.171814	-764.915527
1990	-742.17981	-755.379761
2000	-744.707458	-745.705566
2010	-746.748474	-735.917114
2020	-748.297668	-726.038879
2030	-749.351257	-716.095581
2040	-749.906555	-706.112061
2050	-749.962219	-696.113281
2060	-749.518066	-686.124207
2070	-748.575256	-676.1698
2080	-747.136047	-666.274963
2090	-745.204102	-656.464417
2100	-742.784302	-646.762634
2110	-739.882629	-637.19397
2120	-736.506287	-627.782288
2130	-732.663879	-618.551147
2140	-728.364807	-609.52356
2150	-723.619995	-600.722107
2160	-718.441162	-592.168762
2170	-712.84137	-583.88501
